Drug,clean_drug,base_drug,UMLS_CUI,Preferred_Term,Preferred_TTY
phendimetrazine,phendimetrazine,phendimetrazine,C0070549,phendimetrazine,IN
phenhydan,phenhydan,phenhydan,,,
pheniramine,pheniramine,pheniramine,C0031408,pheniramine,IN
phenobarbital 00023202,phenobarbital 00023202,phenobarbital 00023202,C0993613,Bar,DF
phenobarbital phenobarbital,phenobarbital phenobarbital,phenobarbital phenobarbital,C5848185,1 ML phenobarbital sodium 130 MG/ML Injection,SCD
phenobarbital 130 mgml westward,phenobarbital 130 mgml westward,phenobarbital 130 mgml westward,C2365907,fumarate 30 MG,SCDC
phenobarbital 5mgml saft,phenobarbital 5mgml saft,phenobarbital 5mgml saft,C0004743,barbital,IN
phenobarbital calcium,phenobarbital calcium,phenobarbital,C0993613,Bar,DF
phenobarbital elixir,phenobarbital elixir,phenobarbital elixir,C0993613,Bar,DF
phenobarbital tablet,phenobarbital,phenobarbital,C0031412,phenobarbital,IN
phenobarbitone 00023201,phenobarbitone 00023201,phenobarbitone 00023201,C0993613,Bar,DF
phenobarbitone phenobarbital,phenobarbitone phenobarbital,phenobarbitone phenobarbital,C0004743,barbital,IN
phenol,phenol,phenol,C0070570,phenol,IN
phenolphthalein,phenolphthalein,phenolphthalein,C0600489,phenolphthalein,IN
phenoxymethylpenicillin penicillin v,phenoxymethylpenicillin penicillin v,phenoxymethylpenicillin penicillin v,C0059747,ethyl acetate,IN
phenoxymethylpenicillin potassium,phenoxymethylpenicillin potassium,phenoxymethylpenicillin,C0030840,phenoxymethylpenicillin,SY
phenoxymethylpenicillinsulfadiazinesulfamerazinesulfadimethyl pyrimidine,phenoxymethylpenicillinsulfadiazinesulfamerazinesulfadimethyl pyrimidine,phenoxymethylpenicillinsulfadiazinesulfamerazinesulfadimethyl pyrimidine,C0030840,phenoxymethylpenicillin,SY
phentermine hydrochloride,phentermine hydrochloride,phentermine,C0282304,phentermine hydrochloride,PIN
phentolamine hydrochloride,phentolamine hydrochloride,phentolamine,C0891738,phenethylamine hydrochloride,PIN
phenylbutazone,phenylbutazone,phenylbutazone,C0031463,phenylbutazone,IN
phenylephrine hcl,phenylephrine hcl,phenylephrine,C0031469,phenylephrine,IN
phenylephrinetropicamide,phenylephrinetropicamide,phenylephrinetropicamide,C2146470,phenylephrine / tropicamide,MIN
phenytoin phenytoin,phenytoin phenytoin,phenytoin phenytoin,C4048488,2 ML phenytoin sodium 50 MG/ML Injection,SCD
phenytoin phenytoin unknow n phenytoin,phenytoin phenytoin unknow n phenytoin,phenytoin phenytoin unknow n phenytoin,C0031507,phenytoin,IN
phenytoin phenytoin unknown phenytoin,phenytoin phenytoin unknown phenytoin,phenytoin phenytoin unknown phenytoin,C0031507,phenytoin,IN
phenytoin 125mg5ml,phenytoin 125mg5ml,phenytoin 125mg5ml,C0031507,phenytoin,IN
phenytoin chewable,phenytoin chewable,phenytoin chewable,C1247498,phenytoin Chewable Tablet,SCDF
phenytoinphenytoin,phenytoinphenytoin,phenytoinphenytoin,C0031507,phenytoin,IN
phenytoine,phenytoine,phenytoine,C0031507,phenytoin,IN
phesgo,phesgo,phesgo,C5239903,Phesgo,BN
phosphalugel,phosphalugel,phosphalugel,C0017243,Gel,DF
phosphalugel 00488501,phosphalugel 00488501,phosphalugel 00488501,C0017243,Gel,DF
phosphalugel aluminium phosphate gel,phosphalugel aluminium phosphate gel,phosphalugel aluminium gel,C0051519,aluminium phosphate,SY
phospholine iodide,phospholine iodide,phospholine iodide,C0701977,Phospholine Iodide,BN
phospholine iodide ophthalmic,phospholine iodide ophthalmic,phospholine iodide ophthalmic,C1711549,ecothiopate Ophthalmic Solution [Phospholine Iodide],SBDF
physioneal 40 glucose 136 solution for peritoneal dialysis,physioneal 40 glucose 136 for peritoneal dialysis,physioneal 40 glucose 136 for peritoneal dialysis,C0017725,glucose,IN
piarle,piarle,piarle,,,
piasky,piasky,piasky,C5925717,Piasky,BN
picato ingenol mebutate,picato ingenol mebutate,picato ingenol mebutate,C2825682,ingenol mebutate,IN
picolax magnesium citratesodium picosulfate,picolax magnesium citratesodium picosulfate,picolax citratesodium picosulfate,C0108101,calcium citrate,IN
picoprep,picoprep,picoprep,,,
pilocarpine,pilocarpine,pilocarpine,C0031923,pilocarpine,IN
pimobendan,pimobendan,pimobendan,C0071071,pimobendan,IN
pimozide,pimozide,pimozide,C0031935,pimozide,IN
pioglitazone hydrochloride,pioglitazone hydrochloride,pioglitazone,C0872972,pioglitazone hydrochloride,PIN
pioglitazone hydrochloride and metformin hydrochloride,pioglitazone hydrochloride and metformin hydrochloride,pioglitazone and metformin,C1615632,metFORMIN HCl 850 mg and pioglitazone (as pioglitazone hydrochloride) 15 MG Oral Tablet,TMSY
piperacilintazobaktam mylan,piperacilintazobaktam mylan,piperacilintazobaktam mylan,,,
piperacillin tazobactam,piperacillin tazobactam,piperacillin tazobactam,C0250480,piperacillin / tazobactam,MIN
piperacillin sodium,piperacillin sodium,piperacillin,C0700463,piperacillin sodium,PIN
piperacillin sodium wtazobactam,piperacillin sodium wtazobactam,piperacillin wtazobactam,C0031955,piperacillin,IN
piperacillin sodium tazobactam sodium,piperacillin sodium tazobactam sodium,piperacillin tazobactam,C0250480,piperacillin / tazobactam,MIN
piperacillintazobactam mylan,piperacillintazobactam mylan,piperacillintazobactam mylan,C0031955,piperacillin,IN
piperacillintazobactam unknown,piperacillintazobactam unknown,piperacillintazobactam unknown,C0031955,piperacillin,IN
piperacillinsulbactam,piperacillinsulbactam,piperacillinsulbactam,C0031955,piperacillin,IN
piperacillinatazobactam,piperacillinatazobactam,piperacillinatazobactam,C0250480,piperacillin / tazobactam,MIN
pipertaz sandoz,pipertaz sandoz,pipertaz sandoz,,,
piraldina,piraldina,piraldina,,,
pirespa pirfenidone,pirespa pirfenidone,pirespa pirfenidone,C0298067,pirfenidone,IN
pirilene,pirilene,pirilene,C0016383,fluspirilene,IN
pirimetamina,pirimetamina,pirimetamina,,,
piriteze,piriteze,piriteze,,,
piriton,piriton,piriton,,,
piritramide,piritramide,piritramide,C0031982,piritramide,SY
pitavastatin calcium,pitavastatin calcium,pitavastatin,C2720023,pitavastatin calcium,PIN
pitocin,pitocin,pitocin,C0733348,Pitocin,BN
pitolisant,pitolisant,pitolisant,C3529928,pitolisant,IN
pitressin,pitressin,pitressin,C0699128,Pitressin,BN
pivalone 03009501,pivalone 03009501,pivalone 03009501,C3474139,Alo,BN
pivalone neomycinpolymyxin btixocortol,pivalone neomycinpolymyxin btixocortol,pivalone neomycinpolymyxin btixocortol,C0027603,neomycin,IN
pizotifen,pizotifen,pizotifen,C0032036,pizotifen,SY
pizotyline,pizotyline,pizotyline,C0032036,pizotyline,IN
pl 001160388 baxter healthcare cyclophosphamide injection 1g,pl 001160388 baxter healthcare cyclophosphamide 1g,pl 001160388 baxter healthcare cyclophosphamide 1g,C0010583,cyclophosphamide,IN
plan b,plan b,plan b,C1964764,{2 (levonorgestrel 0.75 MG Oral Tablet) } Pack [Plan B],BPCK
plaquenil 00072602,plaquenil 00072602,plaquenil 00072602,C0699177,Plaquenil,BN
plaquenil hydroxychloroquine phosphate,plaquenil hydroxychloroquine phosphate,plaquenil hydroxychloroquine,C0008269,chloroquine,IN
plasmaderived fviiivwf concentrate,plasmaderived fviiivwf concentrate,plasmaderived fviiivwf concentrate,C0591711,Lasma,BN
plasmalyte a,plasmalyte a,plasmalyte a,C0071213,Plasmalyte A,BN
plasma lyte a,plasma lyte a,plasma lyte a,C0071213,Plasmalyte A,BN
plasmalyte 148,plasmalyte 148,plasmalyte 148,C0071208,Plasma-lyte 148,BN
plasmalyte glucos,plasmalyte glucos,plasmalyte glucos,C0591711,Lasma,BN
plasmapheresis,plasmapheresis,plasmapheresis,C0591711,Lasma,BN
platinum,platinum,platinum,C0032207,platinum,IN
plavix,plavix,plavix,C0633084,Plavix,BN
pld,pld,pld,C5209924,pLDLR-Neo,IN
plitidepsin,plitidepsin,plitidepsin,,,
pmsbenztropine,pmsbenztropine,pmsbenztropine,,,
pmsvalproic acid,pmsvalproic acid,pmsvalproic acid,,,
pms benztropine,pms benztropine,pms benztropine,C0005098,benztropine,IN
pneumococcal 13valent conjugate vaccine,pneumococcal 13valent conjugate vaccine,pneumococcal 13valent conjugate vaccine,,,
pneumococcal 7valent conjugate vaccine diphtheria crm197 protein,pneumococcal 7valent conjugate vaccine diphtheria crm197 protein,pneumococcal 7valent conjugate vaccine diphtheria crm197 protein,,,
pneumococcal vaccine polyvalent,pneumococcal vaccine polyvalent,pneumococcal vaccine polyvalent,C3887855,Pneumovax 23 (Pneumococcal vaccine polyvalent) 0.5 ML Injection,SY
pneumorel,pneumorel,pneumorel,,,
pneumovax,pneumovax,pneumovax,C0947642,Pneumovax 23,BN
pneumovax 23,pneumovax 23,pneumovax 23,C0947642,Pneumovax 23,BN
polery enfant,polery enfant,polery enfant,C2344229,Ery,BN
polidocanol,polidocanol,polidocanol,C0071330,polidocanol,IN
polihexanide hydrochloride,polihexanide hydrochloride,polihexanide,C4238286,polihexanide hydrochloride,PIN
poliovirus vaccine inactivated nos,poliovirus vaccine inactivated nos,poliovirus vaccine inactivated nos,C0206435,poliovirus,IN
polivy,polivy,polivy,C5140545,Polivy,BN
pollens grasses johnson grass sorghum halepense,pollens grasses johnson grass sorghum halepense,pollens grasses johnson grass sorghum halepense,,,
pollens weeds giant short western ragweed mix,pollens weeds giant short western ragweed mix,pollens weeds giant short western ragweed mix,,,
polocaine,polocaine,polocaine,C1736247,Polocaine,BN
polyethylene glycol 3350 nf 17 g,polyethylene glycol 3350 nf 17 g,polyethylene glycol 3350 nf 17 g,C0724672,polyethylene glycol 3350,IN
polyethylene glycol 3350 powder kremeris urban pharmaceutical,polyethylene glycol 3350 powder kremeris urban pharmaceutical,polyethylene glycol 3350 powder kremeris urban pharmaceutical,C0015075,ethylene,IN
polyethylene glycol 3350 peg 33,polyethylene glycol 3350 peg 33,polyethylene glycol 3350 peg 33,C0724672,polyethylene glycol 3350,IN
polyethylene glycol 3350nf,polyethylene glycol 3350nf,polyethylene glycol 3350nf,C0724672,polyethylene glycol 3350,IN
polyethylene glycol 3350nf 527g breckenridge,polyethylene glycol 3350nf 527g breckenridge,polyethylene glycol 3350nf 527g breckenridge,C0015075,ethylene,IN
polyethylene glycol 3350potassium chloridesodium bicarbonatesodium chloride,polyethylene glycol 3350potassium chloridesodium bicarbonatesodium chloride,polyethylene glycol 3350potassium chloridesodium bicarbonatesodium chloride,C2111788,polyethylene glycol 3350 / potassium chloride / sodium bicarbonate / sodium chloride,MIN
polyethylene glycol 3350potassium chloridesodium bicarbonatesodium chloridesodium sulfate,polyethylene glycol 3350potassium chloridesodium bicarbonatesodium chloridesodium sulfate,polyethylene glycol 3350potassium chloridesodium bicarbonatesodium chloridesodium,C2111789,polyethylene glycol 3350 / potassium chloride / sodium bicarbonate / sodium chloride / sodium sulfate,MIN
polyethylene glycol l asparaginase,polyethylene glycol l asparaginase,polyethylene glycol l asparaginase,C0003993,asparaginase,IN
polyethylene glycolspotassium chloridesodium bicarbonatesodium chloridesodium sulfate,polyethylene glycolspotassium chloridesodium bicarbonatesodium chloridesodium sulfate,polyethylene glycolspotassium chloridesodium bicarbonatesodium chloridesodium,C2111789,polyethylene glycol 3350 / potassium chloride / sodium bicarbonate / sodium chloride / sodium sulfate,MIN
polygeline,polygeline,polygeline,C0032493,polygeline,IN
polymyxin,polymyxin,polymyxin,C0032535,polymyxin B,IN
polymyxin b manufacturer unknown polymyxin b polymyxin b,polymyxin b manufacturer unknown polymyxin b polymyxin b,polymyxin b manufacturer unknown polymyxin b polymyxin b,C0032535,polymyxin B,IN
polymyxin b sulfate and trimethoprim,polymyxin b sulfate and trimethoprim,polymyxin b and trimethoprim,C0722704,polymyxin B / trimethoprim,MIN
polymyxin b sulfatetrimethoprim,polymyxin b sulfatetrimethoprim,polymyxin b sulfatetrimethoprim,C0032535,polymyxin B,IN
polysilane simeticone,polysilane simeticone,polysilane simeticone,C0178847,silane,IN
polystyrene sulfonate sodium,polystyrene sulfonate sodium,polystyrene sulfonate,C0137904,polystyrene sulfonate,IN
polyvalent crotalidae antivenin equine,polyvalent crotalidae antivenin equine,polyvalent crotalidae antivenin equine,C0305048,polyvalent Crotalidae antivenin,IN
polyviflor 025 liquid zylera,polyviflor 025 liquid zylera,polyviflor 025 liquid zylera,C1697794,Liquid,DF
pomalidomide,pomalidomide,pomalidomide,C2347624,pomalidomide,IN
pomalyst pomalidomide 2 milligram capsules,pomalyst pomalidomide 2 milligram,pomalyst pomalidomide 2 milligram,C2347624,pomalidomide,IN
pombiliti,pombiliti,pombiliti,C5853829,Pombiliti,BN
ponvory,ponvory,ponvory,C5443716,Ponvory,BN
posanol,posanol,posanol,,,
posicaine articaine hydrochlorideepinephrine bitartrate,posicaine articaine hydrochlorideepinephrine bitartrate,posicaine articaine hydrochlorideepinephrine,C1608295,articaine,IN
positive skin test control histamine,positive skin test control histamine,positive skin test control histamine,C0019588,histamine,IN
potasschloride,potasschloride,potasschloride,C0006686,calcium chloride,IN
potassium aspartate,potassium aspartate,aspartate,C0032823,potassium aspartate,IN
potassium bicarbonatepotassium chloride,potassium bicarbonatepotassium chloride,bicarbonatepotassium chloride,C0054465,calcium bicarbonate,IN
potassium canrenoate,potassium canrenoate,canrenoate,C0006881,potassium canrenoate,SY
potassium chloride not specified,potassium chloride not specified,chloride not specified,C0006686,calcium chloride,IN
potassium chloride 150 mg ml,potassium chloride 150 mg ml,chloride 150 mg ml,C1132503,potassium chloride 150 MG/ML,SCDC
potassium chloride in dextrose and sodium chloride,potassium chloride in dextrose and sodium chloride,chloride in dextrose and chloride,C0718014,potassium chloride / sodium chloride,MIN
potassium chloridesodium bicarbonatesodium sulfate,potassium chloridesodium bicarbonatesodium sulfate,chloridesodium bicarbonatesodium,C0054465,calcium bicarbonate,IN
potassium chloridesodium chloride,potassium chloridesodium chloride,chloridesodium chloride,C0718014,potassium chloride / sodium chloride,MIN
potassium citrate and citric acid,potassium citrate and citric acid,citrate and citric acid,C0717626,citric acid / potassium citrate,MIN
potassium dihydrogen phosphate,potassium dihydrogen phosphate,dihydrogen,C0771849,calcium dihydrogen phosphate,PIN
potassium iodide,potassium iodide,iodide,C0032831,potassium iodide,IN
potassium permanganate,potassium permanganate,permanganate,C0032838,potassium permanganate,IN
potassium phosphate 00493501,potassium phosphate 00493501,00493501,C0071778,potassium phosphate,IN
potassium phosphates,potassium phosphates,phosphates,C0071778,potassium phosphate,IN
potassium phosphatesodium phosphate,potassium phosphatesodium phosphate,phosphatesodium,C0032821,potassium,IN
potassium sodium 14deoxy1112dehydroandrographolide succinate,potassium sodium 14deoxy1112dehydroandrographolide succinate,14deoxy1112dehydroandrographolide,C0032821,potassium,IN
potassium sodium dehydroandroan drographolide succinate,potassium sodium dehydroandroan drographolide succinate,dehydroandroan drographolide,C0032821,potassium,IN
potiga,potiga,potiga,C3160375,Potiga,BN
povidone iodine,povidone iodine,povidone iodine,C0032857,povidone-iodine,IN
pozelimab,pozelimab,pozelimab,C5139913,pozelimab,IN
ppd in black henna,ppd in black henna,ppd in black henna,,,
pracetamol,pracetamol,pracetamol,C0718194,Aceta,BN
pralatrexate,pralatrexate,pralatrexate,C1721300,pralatrexate,IN
pramipexole dihydrochloride,pramipexole dihydrochloride,pramipexole dihydrochloride,C0772054,pramipexole dihydrochloride,PIN
pranlukast,pranlukast,pranlukast,,,
pranoprofen,pranoprofen,pranoprofen,,,
prasugrel,prasugrel,prasugrel,C1620287,prasugrel,IN
prasugrel hydrochloride,prasugrel hydrochloride,prasugrel,C2683417,prasugrel hydrochloride,PIN
pravastatin,pravastatin,pravastatin,C0085542,pravastatin,IN
pravastatin na 5mg tablet,pravastatin na 5mg,pravastatin na 5mg,C0085542,pravastatin,IN
pravastatin sodium,pravastatin sodium,pravastatin,C0700474,pravastatin sodium,PIN
praxbind,praxbind,praxbind,C4056952,Praxbind,BN
prazaxa,prazaxa,prazaxa,,,
praziquantel,praziquantel,praziquantel,C0032911,praziquantel,IN
prazosin hcl,prazosin hcl,prazosin,C2980942,Azo,BN
prazosin hydrochloride,prazosin hydrochloride,prazosin,C0700578,prazosin hydrochloride,PIN
prazosine,prazosine,prazosine,C0032912,prazosin,IN
prepen,prepen,prepen,,,
prednisolon apotex tabletten,prednisolon apotex tabletten,prednisolon apotex tabletten,C0731228,Otex,BN
prednisolon drank 5 mgml milligram per milliliter,prednisolon drank 5 mgml milligram per milliliter,prednisolon drank 5 mgml milligram per milliliter,C0722742,Prednisol,BN
prednisolone prednisolone,prednisolone prednisolone,prednisolone prednisolone,C2938847,{21 (prednisolone 5 MG Oral Tablet) } Pack,GPCK
prednisolone acetate,prednisolone acetate,prednisolone,C0071839,prednisolone acetate,PIN
prednisolone acetate 1,prednisolone acetate 1,prednisolone 1,C0071839,prednisolone acetate,PIN
prednisolone elixir 5 ethanol vv,prednisolone elixir 5 ethanol vv,prednisolone elixir 5 ethanol vv,C0678430,Elixir,DF
prednisolone metasulfobenzoate sodium,prednisolone metasulfobenzoate sodium,prednisolone metasulfobenzoate,C0889299,prednisolone sodium metasulphobenzoate,PIN
prednisolone oral solution,prednisolone oral,prednisolone oral,C1247643,prednisolone Oral Solution,SCDF
prednisolone oral solution 15mg5ml,prednisolone oral 15mg5ml,prednisolone oral 15mg5ml,C1247643,prednisoLONE Oral Solution,TMSY
prednisolone powder 1,prednisolone powder 1,prednisolone powder 1,C0032861,Powder,DF
prednisolone sandoz,prednisolone sandoz,prednisolone sandoz,C0722742,Prednisol,BN
prednisolone schein,prednisolone schein,prednisolone schein,C0722742,Prednisol,BN
prednisolone sodium succinate,prednisolone sodium succinate,prednisolone,C0138274,prednisolone sodium succinate,PIN
prednisolone tablets 5mg,prednisolone 5mg,prednisolone 5mg,C0989226,prednisoLONE 5 MG,TMSY
prednisolone prednisolone sodium phosphate,prednisolone prednisolone sodium phosphate,prednisolone prednisolone,C0138273,prednisolone sodium phosphate,PIN
prednisona 886a,prednisona 886a,prednisona 886a,,,
prednisone prednisone prednisone,prednisone prednisone prednisone,prednisone prednisone prednisone,C2343329,{12 (prednisone 5 MG Oral Tablet) } Pack,GPCK
prednisone prednisone unknown,prednisone prednisone unknown,prednisone prednisone unknown,C0032952,prednisone,IN
prednisone mylan,prednisone mylan,prednisone mylan,C0032952,prednisone,IN
prednizon,prednizon,prednizon,,,
predonine 00016203,predonine 00016203,predonine 00016203,,,
pregabalin od 25mg pfizer,pregabalin od 25mg pfizer,pregabalin od 25mg pfizer,C0657912,pregabalin,IN
pregabalin solution 20mgml,pregabalin 20mgml,pregabalin 20mgml,C2740399,pregabalin 20 MG/ML,SCDC
pregnyl,pregnyl,pregnyl,C0699381,Pregnyl,BN
prelone,prelone,prelone,C0722747,Prelone,BN
premarin,premarin,premarin,C0699710,Premarin,BN
presinol 250,presinol 250,presinol 250,C2370068,Resinol,BN
prevacid 24 hr,prevacid 24 hr,prevacid 24 hr,C0286036,Prevacid,BN
prezista naive,prezista naive,prezista naive,C1721345,Prezista,BN
primaquine,primaquine,primaquine,C0033126,primaquine,IN
primaquine phosphate,primaquine phosphate,primaquine,C0033128,primaquine phosphate,PIN
primene 10,primene 10,primene 10,,,
prismasol b22gk40,prismasol b22gk40,prismasol b22gk40,,,
prismasol bgk20,prismasol bgk20,prismasol bgk20,,,
privigen immune globulin intravenous human 10 liquid,privigen immune globulin intravenous human 10 liquid,privigen immune globulin intravenous human 10 liquid,C0991514,Intravenous Solution,DF
privigen ivig 10 csl behring,privigen ivig 10 csl behring,privigen ivig 10 csl behring,C2342400,Privigen,BN
prizbind,prizbind,prizbind,,,
proactiv md adapalene acne treatment,proactiv md adapalene acne treatment,proactiv md adapalene acne treatment,C0718219,Acne Treatment,BN
proactiv md daily oil control spf 30,proactiv md daily oil control spf 30,proactiv md daily oil control spf 30,,,
proactiv solution renewing cleanser,proactiv renewing cleanser,proactiv renewing cleanser,,,
proactiv solution repairing treatment,proactiv repairing treatment,proactiv repairing treatment,,,
probenecid and colchicine,probenecid and colchicine,probenecid and colchicine,C0717652,colchicine / probenecid,MIN
probiotics nos,probiotics nos,probiotics nos,C0991539,Otic Cream,DF
procainamide hydrochloride,procainamide hydrochloride,procainamide,C0600311,procainamide hydrochloride,PIN
procaine penicillin benzylpenicillin sodiumprocaine benzylpenicillin,procaine penicillin benzylpenicillin sodiumprocaine benzylpenicillin,procaine penicillin benzylpenicillin sodiumprocaine benzylpenicillin,C0030827,benzylpenicillin,SY
procarbazine hydrochloride,procarbazine hydrochloride,procarbazine,C0205909,procarbazine hydrochloride,PIN
procaterol,procaterol,procaterol,C0072032,procaterol,IN
procentra,procentra,procentra,C2683532,ProCentra,BN
prochlorperazine,prochlorperazine,prochlorperazine,C0033229,prochlorperazine,IN
prochlorperazine maleate,prochlorperazine maleate,prochlorperazine maleate,C0033231,prochlorperazine maleate,PIN
procylin,procylin,procylin,,,
procytox 2000mgvia,procytox 2000mgvia,procytox 2000mgvia,,,
progesterone injection usp,progesterone usp,progesterone usp,C0033308,progesterone,IN
proglicem,proglicem,proglicem,,,
prograft,prograft,prograft,C0678125,Prograf,BN
proguanil,proguanil,proguanil,C0008241,proguanil,IN
prohance,prohance,prohance,,,
prohance gadoteridol,prohance gadoteridol,prohance gadoteridol,C0060930,gadoteridol,IN
prolastinc,prolastinc,prolastinc,C0701947,Prolastin,BN
prolixin decanoate,prolixin decanoate,prolixin decanoate,C1962203,1 ML Prolixin Decanoate 25 MG/ML Prefilled Syringe,SY
promazine,promazine,promazine,C0033399,promazine,IN
promedol 01498801,promedol 01498801,promedol 01498801,,,
promethazine 00033002,promethazine 00033002,promethazine 00033002,C0033405,promethazine,IN
pronaxen,pronaxen,pronaxen,,,
propafol,propafol,propafol,,,
propanol propranolol hydrochloride,propanol propranolol hydrochloride,propanol propranolol,C0282321,propranolol hydrochloride,PIN
propanolol,propanolol,propanolol,C0033497,propranolol,IN
propanolol 00030001,propanolol 00030001,propanolol 00030001,C0722856,Propan,BN
propanolol hcl,propanolol hcl,propanolol,C0722856,Propan,BN
proparacaine hcl,proparacaine hcl,proparacaine,C0072510,proparacaine,IN
propecia,propecia,propecia,C0722858,Propecia,BN
propicillin potassium,propicillin potassium,propicillin,C0771910,propicillin potassium,PIN
propofol 1 fresenius,propofol 1 fresenius,propofol 1 fresenius,C0033487,propofol,IN
propofol 1 mct fresenius,propofol 1 mct fresenius,propofol 1 mct fresenius,C0033487,propofol,IN
propofol fresenius not specified,propofol fresenius not specified,propofol fresenius not specified,C0033487,propofol,IN
propofol injection,propofol,propofol,C0033487,propofol,IN
propoven,propoven,propoven,C2740329,Propoven,BN
propranolol hcl oral solution 20mg5ml,propranolol hcl oral 20mg5ml,propranolol oral 20mg5ml,C0991533,Oral Capsule,DF
propranolol hcl tablet nonspecific,propranolol hcl nonspecific,propranolol nonspecific,C0033497,propranolol,IN
propranolol hydrochloride 00030001,propranolol hydrochloride 00030001,propranolol 00030001,C0282321,propranolol hydrochloride,PIN
propranolol inn,propranolol inn,propranolol inn,C0033497,propranolol,IN
propranolol inn propranolol hydrochloride unknown,propranolol inn propranolol hydrochloride unknown,propranolol inn propranolol unknown,C0006686,calcium chloride,IN
propulsid,propulsid,propulsid,C0722861,Propulsid,BN
prospan,prospan,prospan,C0722856,Propan,BN
prostacyclin,prostacyclin,prostacyclin,C2962221,TAC,BN
prostaglandin a1,prostaglandin a1,prostaglandin a1,,,
prostigmin,prostigmin,prostigmin,C0878189,Prostigmin,BN
prostin vr pediatric,prostin vr pediatric,prostin vr pediatric,C0592016,Prostin VR,BN
protamine sulfate,protamine sulfate,protamine,C0033602,protamine sulfate (USP),IN
protamine sulfate manufacturer unknown,protamine sulfate manufacturer unknown,protamine manufacturer unknown,C0771747,protamine hydrochloride,PIN
protein c,protein c,protein c,C0033621,protein C,IN
prothrombin complex concentrate,prothrombin complex concentrate,prothrombin complex concentrate,C3644764,prothrombin complex concentrate (human) 1 UNT Injection,PSN
protionamide,protionamide,protionamide,C0033705,protionamide,SY
provayblue,provayblue,provayblue,C4224851,Provayblue,BN
provent skin tag remover,provent skin tag remover,provent skin tag remover,,,
proventil hfa,proventil hfa,proventil hfa,C0699770,Proventil,BN
provera,provera,provera,C0699702,Provera,BN
provive,provive,provive,,,
proxymetacaine hydrochloride,proxymetacaine hydrochloride,proxymetacaine,C0731108,Minims Proxymetacaine hydrochloride,BN
pseudoephedrine,pseudoephedrine,pseudoephedrine,C0033798,pseudoephedrine,IN
pseudoephedrine hydrochloride,pseudoephedrine hydrochloride,pseudoephedrine,C0304430,pseudoephedrine hydrochloride,PIN
psoralen,psoralen,psoralen,C0049289,5-methoxypsoralen,IN
pudilan,pudilan,pudilan,,,
pulmicort suspension,pulmicort,pulmicort,C0678162,Pulmicort,BN
pulmictan,pulmictan,pulmictan,,,
pulse prednisone,pulse prednisone,pulse prednisone,C0032952,prednisone,IN
pulsmarin a,pulsmarin a,pulsmarin a,,,
puralube,puralube,puralube,C0722909,Puralube,BN
pure sun defense nickeoldeon ninja turtles sunscreen spray,pure sun defense nickeoldeon ninja turtles sunscreen,pure sun defense nickeoldeon ninja turtles sunscreen,,,
pure sun defensesunscreen spray 177 ml pure sun defense,pure sun defensesunscreen 177 ml pure sun defense,pure sun defensesunscreen 177 ml pure sun defense,,,
puregon,puregon,puregon,C0593515,Puregon,BN
puregon 01348901,puregon 01348901,puregon 01348901,C0593515,Puregon,BN
pursennid,pursennid,pursennid,,,
pursennid sennoside ab,pursennid sennoside ab,pursennid sennoside ab,,,
pyrazinamide pyrazinamide,pyrazinamide pyrazinamide,pyrazinamide pyrazinamide,C0717871,isoniazid / pyrazinamide / rifAMPin,TMSY
pyrazinamide cf,pyrazinamide cf,pyrazinamide cf,C0034239,pyrazinamide,IN
pyrazinamide 500 mg,pyrazinamide 500 mg,pyrazinamide 500 mg,C1186764,pyrazinamide 500 MG,SCDC
pyrethia,pyrethia,pyrethia,,,
pyrethin and piperonyl butoxide rite aid brand,pyrethin and piperonyl butoxide rite aid brand,pyrethin and piperonyl butoxide rite aid brand,C0031962,piperonyl butoxide,IN
pyridostigmine bromide,pyridostigmine bromide,pyridostigmine,C0034262,pyridostigmine bromide,PIN
pyridoxal,pyridoxal,pyridoxal,C0034263,pyridoxal,IN
pyridoxal 5 phosphate,pyridoxal 5 phosphate,pyridoxal 5,C0034266,pyridoxal phosphate,PIN
pyridoxal5phosphate,pyridoxal5phosphate,pyridoxal5phosphate,C0034266,pyridoxal phosphate,PIN
pyridoxin,pyridoxin,pyridoxin,C0034272,pyridoxine,IN
pyridoxine hydrochloridethiamine hydrochlorideriboflavinnicotinamide,pyridoxine hydrochloridethiamine hydrochlorideriboflavinnicotinamide,pyridoxine hydrochloridethiamine hydrochlorideriboflavinnicotinamide,C0034272,pyridoxine,IN
pyridoxine hydrochloridesodium aspartate,pyridoxine hydrochloridesodium aspartate,pyridoxine hydrochloridesodium aspartate,C0085845,aspartate,IN
paclitaxel 100mg167ml hospira,paclitaxel 100mg167ml hospira,paclitaxel 100mg167ml hospira,C0144576,paclitaxel,IN
paclitaxel 30mg5ml hospira,paclitaxel 30mg5ml hospira,paclitaxel 30mg5ml hospira,C0144576,paclitaxel,IN
paracetamol solution for infusion,paracetamol for infusion,paracetamol for infusion,C0718194,Aceta,BN
paracetamol tablet 500mg,paracetamol 500mg,paracetamol 500mg,C0718194,Aceta,BN
pegylated lasparaginase,pegylated lasparaginase,pegylated lasparaginase,C0003993,asparaginase,IN
pegylated liposomal doxorubicin,pegylated liposomal doxorubicin,pegylated liposomal doxorubicin,C0013089,doxorubicin,IN
