fda_drug,clean_drug,base_drug,UMLS_CUI,Preferred_Term,Preferred_TTY
polymyxin b sulfate and trimethoprim,polymyxin b sulfate and trimethoprim,polymyxin b and trimethoprim,,,
polymyxin b sulfatetrimethoprim,polymyxin b sulfatetrimethoprim,polymyxin b sulfatetrimethoprim,,,
polysilane simeticone,polysilane simeticone,polysilane simeticone,,,
polyvalent crotalidae antivenin equine,polyvalent crotalidae antivenin equine,polyvalent crotalidae antivenin equine,,,
polyviflor 025 liquid zylera,polyviflor 025 liquid zylera,polyviflor 025 liquid zylera,,,
posanol,posanol,posanol,,,
posicaine articaine hydrochlorideepinephrine bitartrate,posicaine articaine hydrochlorideepinephrine bitartrate,posicaine articaine hydrochlorideepinephrine,,,
positive skin test control histamine,positive skin test control histamine,positive skin test control histamine,,,
potasschloride,potasschloride,potasschloride,,,
potassium phosphate 00493501,potassium phosphate 00493501,00493501,,,
potassium phosphate 00493501,potassium phosphate 00493501,00493501,,,
potassium phosphates,potassium phosphates,phosphates,,,
potassium phosphatesodium phosphate,potassium phosphatesodium phosphate,phosphatesodium,,,
potassium sodium 14deoxy1112dehydroandrographolide succinate,potassium sodium 14deoxy1112dehydroandrographolide succinate,14deoxy1112dehydroandrographolide,,,
potassium sodium dehydroandroan drographolide succinate,potassium sodium dehydroandroan drographolide succinate,dehydroandroan drographolide,,,
ppd in black henna,ppd in black henna,ppd in black henna,,,
pracetamol,pracetamol,pracetamol,,,
pranlukast,pranlukast,pranlukast,,,
pranoprofen,pranoprofen,pranoprofen,,,
pravastatin na 5mg tablet,pravastatin na 5mg,pravastatin na 5mg,,,
prazaxa,prazaxa,prazaxa,,,
prazosine,prazosine,prazosine,,,
prepen,prepen,prepen,,,
prednisona 886a,prednisona 886a,prednisona 886a,,,
prednizon,prednizon,prednizon,,,
predonine 00016203,predonine 00016203,predonine 00016203,,,
pregabalin od 25mg pfizer,pregabalin od 25mg pfizer,pregabalin od 25mg pfizer,,,
pregabalin solution 20mgml,pregabalin 20mgml,pregabalin 20mgml,,,
presinol 250,presinol 250,presinol 250,,,
prevacid 24 hr,prevacid 24 hr,prevacid 24 hr,,,
prezista naive,prezista naive,prezista naive,,,
primene 10,primene 10,primene 10,,,
prismasol b22gk40,prismasol b22gk40,prismasol b22gk40,,,
prismasol bgk20,prismasol bgk20,prismasol bgk20,,,
prizbind,prizbind,prizbind,,,
proactiv md adapalene acne treatment,proactiv md adapalene acne treatment,proactiv md adapalene acne treatment,,,
proactiv md daily oil control spf 30,proactiv md daily oil control spf 30,proactiv md daily oil control spf 30,,,
proactiv solution renewing cleanser,proactiv renewing cleanser,proactiv renewing cleanser,,,
proactiv solution repairing treatment,proactiv repairing treatment,proactiv repairing treatment,,,
probiotics nos,probiotics nos,probiotics nos,,,
procaine penicillin benzylpenicillin sodiumprocaine benzylpenicillin,procaine penicillin benzylpenicillin sodiumprocaine benzylpenicillin,procaine penicillin benzylpenicillin sodiumprocaine benzylpenicillin,,,
procylin,procylin,procylin,,,
procytox 2000mgvia,procytox 2000mgvia,procytox 2000mgvia,,,
proglicem,proglicem,proglicem,,,
prograft,prograft,prograft,,,
prohance,prohance,prohance,,,
prohance gadoteridol,prohance gadoteridol,prohance gadoteridol,,,
prolastinc,prolastinc,prolastinc,,,
prolixin decanoate,prolixin decanoate,prolixin decanoate,,,
promedol 01498801,promedol 01498801,promedol 01498801,,,
promethazine 00033002,promethazine 00033002,promethazine 00033002,,,
pronaxen,pronaxen,pronaxen,,,
propafol,propafol,propafol,,,
propanol propranolol hydrochloride,propanol propranolol hydrochloride,propanol propranolol,,,
propanolol,propanolol,propanolol,,,
propanolol 00030001,propanolol 00030001,propanolol 00030001,,,
propanolol hcl,propanolol hcl,propanolol,,,
propofol 1 fresenius,propofol 1 fresenius,propofol 1 fresenius,,,
propofol 1 mct fresenius,propofol 1 mct fresenius,propofol 1 mct fresenius,,,
propofol fresenius not specified,propofol fresenius not specified,propofol fresenius not specified,,,
propranolol hcl oral solution 20mg5ml,propranolol hcl oral 20mg5ml,propranolol oral 20mg5ml,,,
propranolol hcl tablet nonspecific,propranolol hcl nonspecific,propranolol nonspecific,,,
propranolol hydrochloride 00030001,propranolol hydrochloride 00030001,propranolol 00030001,,,
propranolol inn,propranolol inn,propranolol inn,,,
propranolol inn propranolol hydrochloride unknown,propranolol inn propranolol hydrochloride unknown,propranolol inn propranolol unknown,,,
prospan,prospan,prospan,,,
prostacyclin,prostacyclin,prostacyclin,,,
prostaglandin a1,prostaglandin a1,prostaglandin a1,,,
prostin vr pediatric,prostin vr pediatric,prostin vr pediatric,,,
protamine sulfate manufacturer unknown,protamine sulfate manufacturer unknown,protamine manufacturer unknown,,,
prothrombin complex concentrate,prothrombin complex concentrate,prothrombin complex concentrate,,,
provent skin tag remover,provent skin tag remover,provent skin tag remover,,,
proventil hfa,proventil hfa,proventil hfa,,,
provive,provive,provive,,,
psoralen,psoralen,psoralen,,,
pudilan,pudilan,pudilan,,,
pulmictan,pulmictan,pulmictan,,,
pulse prednisone,pulse prednisone,pulse prednisone,,,
pulsmarin a,pulsmarin a,pulsmarin a,,,
pure sun defense nickeoldeon ninja turtles sunscreen spray,pure sun defense nickeoldeon ninja turtles sunscreen,pure sun defense nickeoldeon ninja turtles sunscreen,,,
pure sun defensesunscreen spray 177 ml pure sun defense,pure sun defensesunscreen 177 ml pure sun defense,pure sun defensesunscreen 177 ml pure sun defense,,,
pursennid,pursennid,pursennid,,,
pursennid sennoside ab,pursennid sennoside ab,pursennid sennoside ab,,,
pyrethia,pyrethia,pyrethia,,,
pyrethin and piperonyl butoxide rite aid brand,pyrethin and piperonyl butoxide rite aid brand,pyrethin and piperonyl butoxide rite aid brand,,,
paracetamol unknown,paracetamol unknown,paracetamol unknown,,,
paracetamol solution for infusion,paracetamol for infusion,paracetamol for infusion,,,
paracetamol tablet 500mg,paracetamol 500mg,paracetamol 500mg,,,
pegasparaginase,pegasparaginase,pegasparaginase,,,
peglasparaginase,peglasparaginase,peglasparaginase,,,
pegasparaginase,pegasparaginase,pegasparaginase,,,
pegylated lasparaginase,pegylated lasparaginase,pegylated lasparaginase,,,
pegylated liposomal doxorubicin,pegylated liposomal doxorubicin,pegylated liposomal doxorubicin,,,
pegylatedlasparaginase,pegylatedlasparaginase,pegylatedlasparaginase,,,
phenobal,phenobal,phenobal,,,
phenobarbital unknown,phenobarbital unknown,phenobarbital unknown,,,
phenobarbitone,phenobarbitone,phenobarbitone,,,
phenylephrine hcl 25,phenylephrine hcl 25,phenylephrine 25,,,
phenytoin amallc,phenytoin amallc,phenytoin amallc,,,
phenytoin sodium nonspecific,phenytoin sodium nonspecific,phenytoin nonspecific,,,
phenytoin sodium non specific,phenytoin sodium non specific,phenytoin non specific,,,
phenytoine,phenytoine,phenytoine,,,
phosphalugel,phosphalugel,phosphalugel,,,
pivalone,pivalone,pivalone,,,
pletaal od tablets 50mg,pletaal od 50mg,pletaal od 50mg,,,
pms benztropine,pms benztropine,pms benztropine,,,
pms valproic acid,pms valproic acid,pms valproic acid,,,
polyethylene glycol l asparaginase,polyethylene glycol l asparaginase,polyethylene glycol l asparaginase,,,
potassium dih phosphate 1mmolml,potassium dih phosphate 1mmolml,dih 1mmolml,,,
pralia,pralia,pralia,,,
pregabaline,pregabaline,pregabaline,,,
premia continuous,premia continuous,premia continuous,,,
proemend,proemend,proemend,,,
profol spiva,profol spiva,profol spiva,,,
propofol propofol,propofol propofol,propofol propofol,,,
propofol unknown,propofol unknown,propofol unknown,,,
propofol claris 20 mgml emulsion inyectable y para perfusion efg,propofol claris 20 mgml emulsion inyectable y para perfusion efg,propofol claris 20 mgml emulsion inyectable y para perfusion efg,,,
propofol hospira,propofol hospira,propofol hospira,,,
propranolol extended release capsules nonspecific,propranolol extended release nonspecific,propranolol extended release nonspecific,,,
propranolol extended release capsules non specific,propranolol extended release non specific,propranolol extended release non specific,,,
propranolol hcl oral solution 20mg5ml,propranolol hcl oral 20mg5ml,propranolol oral 20mg5ml,,,
propyl alcohol,propyl alcohol,propyl alcohol,,,
psoralen,psoralen,psoralen,,,
qpap,qpap,qpap,,,
qpap paracetamol,qpap paracetamol,qpap paracetamol,,,
qi xian,qi xian,qi xian,,,
qifumei,qifumei,qifumei,,,
qingfei paidu decoction,qingfei paidu decoction,qingfei paidu decoction,,,
qpap infants drops,qpap infants,qpap infants,,,
quasym,quasym,quasym,,,
quasym lp,quasym lp,quasym lp,,,
quattrovac,quattrovac,quattrovac,,,
quit nits,quit nits,quit nits,,,
qarziba,qarziba,qarziba,,,
rabbit anti human thymocyte immunoglobulin,rabbit anti human thymocyte immunoglobulin,rabbit anti human thymocyte immunoglobulin,,,
rabbit antihuman thymocyte immunoglobulin,rabbit antihuman thymocyte immunoglobulin,rabbit antihuman thymocyte immunoglobulin,,,
rabbit antithymocyte globulin,rabbit antithymocyte globulin,rabbit antithymocyte globulin,,,
rabbit antithymocyte globulin,rabbit antithymocyte globulin,rabbit antithymocyte globulin,,,
rabbit antithymoglobuline,rabbit antithymoglobuline,rabbit antithymoglobuline,,,
rabbit atg,rabbit atg,rabbit atg,,,
rabbit atgthymoglobulin,rabbit atgthymoglobulin,rabbit atgthymoglobulin,,,
rabbit human antithymocyte immunoglobulin,rabbit human antithymocyte immunoglobulin,rabbit human antithymocyte immunoglobulin,,,
rabbitthymoglobulin,rabbitthymoglobulin,rabbitthymoglobulin,,,
rabefine,rabefine,rabefine,,,
rabipur,rabipur,rabipur,,,
rabit antithymocyte globulin,rabit antithymocyte globulin,rabit antithymocyte globulin,,,
rad 666 rad 001a,rad 666 rad 001a,rad 666 rad 001a,,,
rad001,rad001,rad001,,,
rad001m,rad001m,rad001m,,,
radiation therapy,radiation therapy,radiation therapy,,,
radiation therapy nos,radiation therapy nos,radiation therapy nos,,,
radicut,radicut,radicut,,,
radicut bag for iv infusion 30mg,radicut bag for iv infusion 30mg,radicut bag for iv infusion 30mg,,,
radiprodil,radiprodil,radiprodil,,,
ranimustine,ranimustine,ranimustine,,,
ranitic,ranitic,ranitic,,,
ranitic injekt,ranitic injekt,ranitic injekt,,,
ranitidina apotex comprimidos recubiertos,ranitidina apotex comprimidos recubiertos,ranitidina apotex comprimidos recubiertos,,,
ranmark,ranmark,ranmark,,,
ranmark subcutaneous injection 120mg,ranmark subcutaneous 120mg,ranmark subcutaneous 120mg,,,
rapamycin,rapamycin,rapamycin,,,
rapiacta,rapiacta,rapiacta,,,
rapifen 00109201,rapifen 00109201,rapifen 00109201,,,
rasilez,rasilez,rasilez,,,
rasuritek,rasuritek,rasuritek,,,
rasuritek 15mg,rasuritek 15mg,rasuritek 15mg,,,
ravonal,ravonal,ravonal,,,
rbx topiramate,rbx topiramate,rbx topiramate,,,
readicat2,readicat2,readicat2,,,
rebamipide,rebamipide,rebamipide,,,
recombinant human growth hormone rhgh,recombinant human growth hormone rhgh,recombinant human growth hormone rhgh,,,
recombinant human igfi increlex 10mgml mecasermin mecasermin,recombinant human igfi increlex 10mgml mecasermin mecasermin,recombinant human igfi increlex 10mgml mecasermin mecasermin,,,
recombinant human interferon alpha 1b,recombinant human interferon alpha 1b,recombinant human interferon alpha 1b,,,
recombinant human interferon alpha 2b,recombinant human interferon alpha 2b,recombinant human interferon alpha 2b,,,
recombinant human interferon alpha 2b,recombinant human interferon alpha 2b,recombinant human interferon alpha 2b,,,
recombinant human interferon beta2b,recombinant human interferon beta2b,recombinant human interferon beta2b,,,
recombinant human interleukin 2 unspecified,recombinant human interleukin 2 unspecified,recombinant human interleukin 2 unspecified,,,
reductospezial,reductospezial,reductospezial,,,
refacto af,refacto af,refacto af,,,
refixia nonacog beta pegol,refixia nonacog beta pegol,refixia nonacog beta pegol,,,
reflex,reflex,reflex,,,
refresh liquigel,refresh liquigel,refresh liquigel,,,
refresh plus,refresh plus,refresh plus,,,
regaine frauen 2,regaine frauen 2,regaine frauen 2,,,
regen cov,regen cov,regen cov,,,
regular insulinns 100ml 1 unitml compounded uh pharmacy,regular insulinns 100ml 1 unitml compounded uh pharmacy,regular insulinns 100ml 1 unitml compounded uh pharmacy,,,
reguneal hca,reguneal hca,reguneal hca,,,
reminyl,reminyl,reminyl,,,
remsima,remsima,remsima,,,
renivace,renivace,renivace,,,
replagal,replagal,replagal,,,
repriman,repriman,repriman,,,
resprim forte,resprim forte,resprim forte,,,
restoralax,restoralax,restoralax,,,
retinoic acid,retinoic acid,retinoic acid,,,
retinoic acid tretinoin,retinoic acid tretinoin,retinoic acid tretinoin,,,
reumaflex 00113802,reumaflex 00113802,reumaflex 00113802,,,
rfviiifc,rfviiifc,rfviiifc,,,
rheomacrodex 10 izotonik nacl,rheomacrodex 10 izotonik nacl,rheomacrodex 10 izotonik nacl,,,
rhinomaxil,rhinomaxil,rhinomaxil,,,
riamet,riamet,riamet,,,
ribomunyl bacterial ribosome fractionklebsiella pneumoniae,ribomunyl bacterial ribosome fractionklebsiella pneumoniae,ribomunyl bacterial ribosome fractionklebsiella pneumoniae,,,
ribomustin,ribomustin,ribomustin,,,
rilatine,rilatine,rilatine,,,
rilmazafone,rilmazafone,rilmazafone,,,
rimatil,rimatil,rimatil,,,
rimifon,rimifon,rimifon,,,
rinderon betamethasone sodium phosphate,rinderon betamethasone sodium phosphate,rinderon betamethasone,,,
rinderon betamethasone,rinderon betamethasone,rinderon betamethasone,,,
rinderon betamethasone sodium phosphate,rinderon betamethasone sodium phosphate,rinderon betamethasone,,,
rinlaxer,rinlaxer,rinlaxer,,,
risperdaloro,risperdaloro,risperdaloro,,,
rispolept,rispolept,rispolept,,,
rispolept consta,rispolept consta,rispolept consta,,,
rixathon,rixathon,rixathon,,,
robitussin,robitussin,robitussin,,,
rociletinib,rociletinib,rociletinib,,,
rokitamycin,rokitamycin,rokitamycin,,,
romiplate,romiplate,romiplate,,,
roxadustat,roxadustat,roxadustat,,,
rp103,rp103,rp103,,,
rubella and mumps virus vaccine live,rubella and mumps virus vaccine live,rubella and mumps virus vaccine live,,,
rubifen,rubifen,rubifen,,,
rubifen 00083802,rubifen 00083802,rubifen 00083802,,,
rabbit antihuman thymocyte immunoglobulin,rabbit antihuman thymocyte immunoglobulin,rabbit antihuman thymocyte immunoglobulin,,,
rabbit antithymoglobulin,rabbit antithymoglobulin,rabbit antithymoglobulin,,,
rabbit thymoglobulin,rabbit thymoglobulin,rabbit thymoglobulin,,,
radiotherapy,radiotherapy,radiotherapy,,,
randa,randa,randa,,,
ranimustine,ranimustine,ranimustine,,,
reampla,reampla,reampla,,,
recombinant fxiii novo nordisk,recombinant fxiii novo nordisk,recombinant fxiii novo nordisk,,,
reductospezial,reductospezial,reductospezial,,,
relvar ellipta,relvar ellipta,relvar ellipta,,,
relvar ellipta fluticasone furoatevilanterol,relvar ellipta fluticasone furoatevilanterol,relvar ellipta fluticasone furoatevilanterol,,,
repository corticotropin injection,repository corticotropin,repository corticotropin,,,
rinolan sirup,rinolan sirup,rinolan sirup,,,
riona,riona,riona,,,
rovalcyte,rovalcyte,rovalcyte,,,
roactemra,roactemra,roactemra,,,
rocephalin,rocephalin,rocephalin,,,
rohypnol,rohypnol,rohypnol,,,
s1,s1,s1,,,
s1taiho,s1taiho,s1taiho,,,
s2,s2,s2,,,
sabril for oral solution sabril vigabatrin 500 mg powder for oral solution,sabril for oral sabril vigabatrin 500 mg powder for oral,sabril for oral sabril vigabatrin 500 mg powder for oral,,,
sabril for oral solutionsabrilvigabatrin500 mg powder for oral solution,sabril for oral solutionsabrilvigabatrin500 mg powder for oral,sabril for oral solutionsabrilvigabatrin500 mg powder for oral,,,
sabrilex,sabrilex,sabrilex,,,
salamol,salamol,salamol,,,
salazosulfapyridine,salazosulfapyridine,salazosulfapyridine,,,
salbutamol unknown,salbutamol unknown,salbutamol unknown,,,
salbutamol mylan,salbutamol mylan,salbutamol mylan,,,
salbutamol sulfate,salbutamol sulfate,salbutamol,,,
salbutamol sulphate,salbutamol sulphate,salbutamol,,,
salbutamol sulphate formulation unknown generic albuterol sulfate,salbutamol sulphate formulation unknown generic albuterol sulfate,salbutamol formulation unknown generic albuterol,,,
salbutamolratiopharm inhalationsloesung,salbutamolratiopharm inhalationsloesung,salbutamolratiopharm inhalationsloesung,,,
saline,saline,saline,,,
saline 00075401,saline 00075401,saline 00075401,,,
salmeterolfluticasone,salmeterolfluticasone,salmeterolfluticasone,,,
samtirel,samtirel,samtirel,,,
sandimmun ciclosporin,sandimmun ciclosporin,sandimmun ciclosporin,,,
sandimmunneoral,sandimmunneoral,sandimmunneoral,,,
sandoglobulin nf,sandoglobulin nf,sandoglobulin nf,,,
sandoglobulina,sandoglobulina,sandoglobulina,,,
sandoz ltd cyclophosphamide,sandoz ltd cyclophosphamide,sandoz ltd cyclophosphamide,,,
sanglopor,sanglopor,sanglopor,,,
saproterin dihy 500mg powder packet,saproterin dihy 500mg powder packet,saproterin dihy 500mg powder packet,,,
sarpogrelate hydrochloride,sarpogrelate hydrochloride,sarpogrelate,,,
sauerstoff,sauerstoff,sauerstoff,,,
sawacillin,sawacillin,sawacillin,,,
saxizon,saxizon,saxizon,,,
sb497115,sb497115,sb497115,,,
scandicaine,scandicaine,scandicaine,,,
schein private label lidocaine 100 epinephrine bitartratelidocaine hydrochloride,schein private label lidocaine 100 epinephrine bitartratelidocaine hydrochloride,schein private label lidocaine 100 epinephrine bitartratelidocaine,,,
scitropin,scitropin,scitropin,,,
scopoderm tts,scopoderm tts,scopoderm tts,,,
seibule,seibule,seibule,,,
selenica r,selenica r,selenica r,,,
selenicar,selenicar,selenicar,,,
selenio kabi 40 mcg ml,selenio kabi 40 mcg ml,selenio kabi 40 mcg ml,,,
selitrectinib,selitrectinib,selitrectinib,,,
semisodium valproate,semisodium valproate,semisodium valproate,,,
sempera,sempera,sempera,,,
sendoxan 1000 mg pulver til injeksjonsv ske oppl sning,sendoxan 1000 mg pulver til injeksjonsv ske oppl sning,sendoxan 1000 mg pulver til injeksjonsv ske oppl sning,,,
septanest 40 mgml adrenaline au 1100000 articaine hdyrochloride epinephrine tartrate,septanest 40 mgml adrenaline au 1100000 articaine hdyrochloride epinephrine tartrate,septanest 40 mgml adrenaline au 1100000 articaine hdyrochloride epinephrine,,,
serenase,serenase,serenase,,,
serenase haloperidol,serenase haloperidol,serenase haloperidol,,,
sertralin krka,sertralin krka,sertralin krka,,,
serum albumin human,serum albumin human,serum albumin human,,,
setofilm,setofilm,setofilm,,,
sevofluran baxter 100 v ske til inhalasjonsdamp,sevofluran baxter 100 v ske til inhalasjonsdamp,sevofluran baxter 100 v ske til inhalasjonsdamp,,,
sevofluran baxter 100 inhalations nga v tska,sevofluran baxter 100 inhalations nga v tska,sevofluran baxter 100 inhalations nga v tska,,,
sevoflurano 100 baxter,sevoflurano 100 baxter,sevoflurano 100 baxter,,,
sevoness,sevoness,sevoness,,,
sevoran,sevoran,sevoran,,,
shakuyakukanzoto,shakuyakukanzoto,shakuyakukanzoto,,,
shuang huang lian,shuang huang lian,shuang huang lian,,,
shuanghuanglian,shuanghuanglian,shuanghuanglian,,,
shufeng jiedu,shufeng jiedu,shufeng jiedu,,,
siilif,siilif,siilif,,,
sildenal,sildenal,sildenal,,,
similac,similac,similac,,,
sintilimab,sintilimab,sintilimab,,,
sinus relief oxymetazoline hydrochloride,sinus relief oxymetazoline hydrochloride,sinus relief oxymetazoline,,,
sitafloxacin,sitafloxacin,sitafloxacin,,,
sm13496,sm13496,sm13496,,,
smectite,smectite,smectite,,,
smxtmp,smxtmp,smxtmp,,,
smyraf,smyraf,smyraf,,,
smztmp,smztmp,smztmp,,,
sod chl 7 nebulizer solutin,sod chl 7 nebulizer solutin,sod chl 7 nebulizer solutin,,,
sodglycerphosp,sodglycerphosp,sodglycerphosp,,,
sodglycerphosp 216,sodglycerphosp 216,sodglycerphosp 216,,,
sodio cloruro 09 baxter,sodio cloruro 09 baxter,sodio cloruro 09 baxter,,,
sodium glycerphosphate 216,sodium glycerphosphate 216,glycerphosphate 216,,,
sodium phenylacetate and sodium benzoate,sodium phenylacetate and sodium benzoate,phenylacetate and benzoate,,,
sodium valproat,sodium valproat,valproat,,,
solacy,solacy,solacy,,,
solanax,solanax,solanax,,,
solostar,solostar,solostar,,,
solumedrone,solumedrone,solumedrone,,,
solupred 00016217,solupred 00016217,solupred 00016217,,,
solupred prednisolone metasulfobenzoate sodium,solupred prednisolone metasulfobenzoate sodium,solupred prednisolone metasulfobenzoate,,,
solupred prednisolone sodium metazoate,solupred prednisolone sodium metazoate,solupred prednisolone metazoate,,,
solupred prednisolone,solupred prednisolone,solupred prednisolone,,,
solupred methylprednisolone sodium succinate,solupred methylprednisolone sodium succinate,solupred methylprednisolone,,,
solupred prednisolone metasulfobenzoate sodium,solupred prednisolone metasulfobenzoate sodium,solupred prednisolone metasulfobenzoate,,,
solupred prednisolone,solupred prednisolone,solupred prednisolone,,,
solutrast,solutrast,solutrast,,,
soluvit n,soluvit n,soluvit n,,,
soluvit n amp,soluvit n amp,soluvit n amp,,,
soluvit ascorbic acidbiotincalcium pantothenatecyanocobalaminfoli,soluvit ascorbic acidbiotincalcium pantothenatecyanocobalaminfoli,soluvit ascorbic acidbiotincalcium pantothenatecyanocobalaminfoli,,,
somophyllin,somophyllin,somophyllin,,,
sonovue,sonovue,sonovue,,,
soriclar,soriclar,soriclar,,,
sortis,sortis,sortis,,,
sourcecf,sourcecf,sourcecf,,,
sovriad,sovriad,sovriad,,,
speciafoldine 5 mg comprim,speciafoldine 5 mg comprim,speciafoldine 5 mg comprim,,,
spidifen,spidifen,spidifen,,,
spifen 200 mg,spifen 200 mg,spifen 200 mg,,,
spiolto,spiolto,spiolto,,,
spiolto respimat,spiolto respimat,spiolto respimat,,,
spregal,spregal,spregal,,,
spy agent green,spy agent green,spy agent green,,,
staloral,staloral,staloral,,,
standacillin 00000503,standacillin 00000503,standacillin 00000503,,,
standacillin 00000503,standacillin 00000503,standacillin 00000503,,,
standardized bermuda grass,standardized bermuda grass,standardized bermuda grass,,,
standardized cat hair,standardized cat hair,standardized cat hair,,,
standardized mite dermatophagoides farinae,standardized mite dermatophagoides farinae,standardized mite dermatophagoides farinae,,,
staquis,staquis,staquis,,,
steroids nos,steroids nos,steroids nos,,,
steronase aq,steronase aq,steronase aq,,,
sti571,sti571,sti571,,,
subcutaneous immunoglobulin,subcutaneous immunoglobulin,subcutaneous immunoglobulin,,,
suglat,suglat,suglat,,,
suiny,suiny,suiny,,,
sujanu combination tablets,sujanu combination,sujanu combination,,,
sulbacillin japan,sulbacillin japan,sulbacillin japan,,,
sulfadiazine silver,sulfadiazine silver,sulfadiazine silver,,,
sulfadiazinetrimethoprim,sulfadiazinetrimethoprim,sulfadiazinetrimethoprim,,,
sulfamethizoletrimethoprim,sulfamethizoletrimethoprim,sulfamethizoletrimethoprim,,,
sulfamethoxazol wtrimetoprim,sulfamethoxazol wtrimetoprim,sulfamethoxazol wtrimetoprim,,,
sulfamethoxazole trimethoprime,sulfamethoxazole trimethoprime,sulfamethoxazole trimethoprime,,,
sulfamethoxazole trimethoprim,sulfamethoxazole trimethoprim,sulfamethoxazole trimethoprim,,,
sulfamethoxazole aurobindo pharmacy,sulfamethoxazole aurobindo pharmacy,sulfamethoxazole aurobindo pharmacy,,,
sulfamethoxazoletrimethoprim,sulfamethoxazoletrimethoprim,sulfamethoxazoletrimethoprim,,,
sulfamethoxazole trimethoprim,sulfamethoxazole trimethoprim,sulfamethoxazole trimethoprim,,,
sulfamethoxazoletrimethoprim,sulfamethoxazoletrimethoprim,sulfamethoxazoletrimethoprim,,,
sulfamethoxazoletmp ds,sulfamethoxazoletmp ds,sulfamethoxazoletmp ds,,,
sulfamethoxazoletrimethoprim,sulfamethoxazoletrimethoprim,sulfamethoxazoletrimethoprim,,,
sulfamethoxazoletrimethoprim smz,sulfamethoxazoletrimethoprim smz,sulfamethoxazoletrimethoprim smz,,,
sulfamethoxazole trimethoprim,sulfamethoxazole trimethoprim,sulfamethoxazole trimethoprim,,,
sulfametoxazoltrimetoprim,sulfametoxazoltrimetoprim,sulfametoxazoltrimetoprim,,,
sulfate de vincristine,sulfate de vincristine,de vincristine,,,
sulfato de vincristina,sulfato de vincristina,sulfato de vincristina,,,
sulfotrim,sulfotrim,sulfotrim,,,
sulfotrim 00086101,sulfotrim 00086101,sulfotrim 00086101,,,
sulfotrim 01680801,sulfotrim 01680801,sulfotrim 01680801,,,
sulfotrim sulfamethoxazoletrimethoprim,sulfotrim sulfamethoxazoletrimethoprim,sulfotrim sulfamethoxazoletrimethoprim,,,
sulphamethoxazole trimethoprim,sulphamethoxazole trimethoprim,sulphamethoxazole trimethoprim,,,
sulphamethoxazoletrimethoprim,sulphamethoxazoletrimethoprim,sulphamethoxazoletrimethoprim,,,
sulphasalazine,sulphasalazine,sulphasalazine,,,
sulphur hexafluoride,sulphur hexafluoride,sulphur hexafluoride,,,
sultiam,sultiam,sultiam,,,
sumamed forte,sumamed forte,sumamed forte,,,
sumamed forte sirup,sumamed forte sirup,sumamed forte sirup,,,
sumamed suspension 100 mg5 ml,sumamed 100 mg5 ml,sumamed 100 mg5 ml,,,
sunvepra,sunvepra,sunvepra,,,
supracain,supracain,supracain,,,
supracef cefixime,supracef cefixime,supracef cefixime,,,
suprarenin,suprarenin,suprarenin,,,
surepost,surepost,surepost,,,
surfair,surfair,surfair,,,
surgicel,surgicel,surgicel,,,
sycrest,sycrest,sycrest,,,
synthamin,synthamin,synthamin,,,
syntocinon,syntocinon,syntocinon,,,
sabrilex,sabrilex,sabrilex,,,
salazosulfapyridine enteric coated tablet 250mg teva,salazosulfapyridine enteric coated 250mg teva,salazosulfapyridine enteric coated 250mg teva,,,
salbutamol sulphate nebuliser solution,salbutamol sulphate nebuliser,salbutamol nebuliser,,,
salmeterolfluticasone,salmeterolfluticasone,salmeterolfluticasone,,,
salmeterolfluticasone,salmeterolfluticasone,salmeterolfluticasone,,,
samtirel,samtirel,samtirel,,,
sandimmun optoral,sandimmun optoral,sandimmun optoral,,,
sawacillin,sawacillin,sawacillin,,,
sayana,sayana,sayana,,,
scopoderm tts,scopoderm tts,scopoderm tts,,,
sedoz,sedoz,sedoz,,,
sefmazon,sefmazon,sefmazon,,,
selara,selara,selara,,,
selara 25mg,selara 25mg,selara 25mg,,,
selenicar,selenicar,selenicar,,,
selenicar,selenicar,selenicar,,,
septanest 40 mgml adr nalin e au 1200000,septanest 40 mgml adr nalin e au 1200000,septanest 40 mgml adr nalin e au 1200000,,,
serenata,serenata,serenata,,,
seretide 50mcg100mcg,seretide 50mcg100mcg,seretide 50mcg100mcg,,,
seretide 50mcg250mcg,seretide 50mcg250mcg,seretide 50mcg250mcg,,,
shiomarin,shiomarin,shiomarin,,,
silece,silece,silece,,,
skiacol,skiacol,skiacol,,,
sodium picosulphate,sodium picosulphate,picosulphate,,,
solumedrone,solumedrone,solumedrone,,,
solutrast,solutrast,solutrast,,,
soluvit,soluvit,soluvit,,,
soluvit n amp,soluvit n amp,soluvit n amp,,,
sortis,sortis,sortis,,,
stocrin,stocrin,stocrin,,,
sulfamethoxazole trimethoprim nonspecific,sulfamethoxazole trimethoprim nonspecific,sulfamethoxazole trimethoprim nonspecific,,,
sulfamethoxazole trimethoprim non specific,sulfamethoxazole trimethoprim non specific,sulfamethoxazole trimethoprim non specific,,,
sulfamethoxazole trimethoprim oral suspension usp 20040mg per 5ml,sulfamethoxazole trimethoprim oral usp 20040mg per 5ml,sulfamethoxazole trimethoprim oral usp 20040mg per 5ml,,,
sulfamethoxazole and trimethoprim tablets usp 800 mg 160 mg,sulfamethoxazole and trimethoprim usp 800 mg 160 mg,sulfamethoxazole and trimethoprim usp 800 mg 160 mg,,,
