cui,rxnorm_tty,rxnorm_name,atc_code,atc_name,L1_code,L1_name,L2_code,L2_name,L3_code,L3_name,L4_code,L4_name,L5_code,L5_name
C0055445,IN,chloropyramine,D04AA09,chloropyramine,D,DERMATOLOGICALS,D04,"ANTIPRURITICS, INCL. ANTIHISTAMINES, ANESTHETICS, ETC.",D04A,"ANTIPRURITICS, INCL. ANTIHISTAMINES, ANESTHETICS, ETC.",D04AA,Antihistamines for topical use,D04AA09,chloropyramine
C0055445,IN,chloropyramine,R06AC03,chloropyramine,R,RESPIRATORY SYSTEM DRUGS,R06,ANTIHISTAMINES FOR SYSTEMIC USE,R06A,ANTIHISTAMINES FOR SYSTEMIC USE,R06AC,"Substituted ethylene diamines, systemic antihistamines",R06AC03,chloropyramine
C0055463,IN,chloroxylenol,D08AE05,chloroxylenol,D,DERMATOLOGICALS,D08,ANTISEPTICS AND DISINFECTANTS,D08A,ANTISEPTICS AND DISINFECTANTS,D08AE,"Phenol and derivatives, antiseptics and disinfectants",D08AE05,chloroxylenol
C0055477,IN,lornoxicam,M01AC05,lornoxicam,M,MUSCULO-SKELETAL SYSTEM DRUGS,M01,ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS,M01A,"ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS, NON-STEROIDS",M01AC,"Oxicams, antiinflammatory and antirheumatic drugs",M01AC05,lornoxicam
C0055568,IN,cholic acid,A05AA03,cholic acid,A,ALIMENTARY TRACT AND METABOLISM DRUGS,A05,BILE AND LIVER THERAPY DRUGS,A05A,BILE THERAPY DRUGS,A05AA,Bile acids and derivatives for bile therapy,A05AA03,cholic acid
C0055573,PIN,choline salicylate,N02BA03,choline salicylate,N,NERVOUS SYSTEM DRUGS,N02,ANALGESICS,N02B,OTHER ANALGESICS AND ANTIPYRETICS in ATC,N02BA,"Salicylic acid and derivatives, analgesics and antipyretics",N02BA03,choline salicylate
C0055578,IN,oxtriphylline,R03DA02,choline theophyllinate,R,RESPIRATORY SYSTEM DRUGS,R03,DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES,R03D,OTHER SYSTEMIC DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES in ATC,R03DA,"Xanthines, systemic for obstructive airway disease",R03DA02,choline theophyllinate
C0055709,,,P02CA04,ciclobendazole,P,"ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS",P02,ANTHELMINTICS,P02C,ANTINEMATODAL AGENTS,P02CA,"Benzimidazole derivatives, antinematodal",P02CA04,ciclobendazole
C0055711,IN,ciclopirox,D01AE14,ciclopirox,D,DERMATOLOGICALS,D01,ANTIFUNGALS FOR DERMATOLOGICAL USE,D01A,ANTIFUNGALS FOR TOPICAL USE,D01AE,Other antifungals for topical use in ATC,D01AE14,ciclopirox
C0055711,IN,ciclopirox,G01AX12,ciclopirox,G,GENITO URINARY SYSTEM AND SEX HORMONES,G01,GYNECOLOGICAL ANTIINFECTIVES AND ANTISEPTICS,G01A,"ANTIINFECTIVES AND ANTISEPTICS, EXCL. COMBINATIONS WITH CORTICOSTEROIDS",G01AX,Other gynecological antiinfectives and antiseptics in ATC,G01AX12,ciclopirox
C0055720,IN,cifenline,C01BG07,cibenzoline,C,CARDIOVASCULAR SYSTEM DRUGS,C01,CARDIAC THERAPY DRUGS,C01B,"ANTIARRHYTHMICS, CLASS I AND III",C01BG,"Other antiarrhythmics, class I and III in ATC",C01BG07,cibenzoline
C0055723,IN,cilazapril,C09AA08,cilazapril,C,CARDIOVASCULAR SYSTEM DRUGS,C09,AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,C09A,"ACE INHIBITORS, PLAIN",C09AA,"ACE inhibitors, plain",C09AA08,cilazapril
C0055729,IN,cilostazol,B01AC23,cilostazol,B,BLOOD AND BLOOD FORMING ORGAN DRUGS,B01,ANTITHROMBOTIC AGENTS,B01A,ANTITHROMBOTIC AGENTS,B01AC,Platelet aggregation inhibitors excl. heparin,B01AC23,cilostazol
C0055738,IN,eucalyptol,R05CA13,cineole,R,RESPIRATORY SYSTEM DRUGS,R05,COUGH AND COLD PREPARATIONS,R05C,"EXPECTORANTS, EXCL. COMBINATIONS WITH COUGH SUPPRESSANTS",R05CA,Expectorants,R05CA13,cineole
C0055740,,,C04AX27,cinepazide,C,CARDIOVASCULAR SYSTEM DRUGS,C04,PERIPHERAL VASODILATORS,C04A,PERIPHERAL VASODILATORS,C04AX,Other peripheral vasodilators in ATC,C04AX27,cinepazide
C0055775,IN,ciprofibrate,C10AB08,ciprofibrate,C,CARDIOVASCULAR SYSTEM DRUGS,C10,LIPID MODIFYING AGENTS,C10A,"LIPID MODIFYING AGENTS, PLAIN",C10AB,"Fibrates, lipid modifying drugs, plain",C10AB08,ciprofibrate
C0055819,IN,citric acid,A09AB04,citric acid,A,ALIMENTARY TRACT AND METABOLISM DRUGS,A09,"DIGESTIVES, INCL. ENZYMES",A09A,"DIGESTIVES, INCL. ENZYMES",A09AB,"Acid preparations, digestives",A09AB04,citric acid
C0055856,IN,clarithromycin,J01FA09,clarithromycin,J,ANTIINFECTIVES FOR SYSTEMIC USE,J01,ANTIBACTERIALS FOR SYSTEMIC USE,J01F,"MACROLIDES, LINCOSAMIDES AND STREPTOGRAMINS",J01FA,Macrolides,J01FA09,clarithromycin
C0055869,IN,clebopride,A03FA06,clebopride,A,ALIMENTARY TRACT AND METABOLISM DRUGS,A03,DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,A03F,PROPULSIVES,A03FA,Propulsives,A03FA06,clebopride
C0055891,IN,clobazam,N05BA09,clobazam,N,NERVOUS SYSTEM DRUGS,N05,PSYCHOLEPTICS,N05B,ANXIOLYTICS,N05BA,Benzodiazepine derivative anxiolytics,N05BA09,clobazam
C0055894,IN,clobenzorex,A08AA08,clobenzorex,A,ALIMENTARY TRACT AND METABOLISM DRUGS,A08,"ANTIOBESITY PREPARATIONS, EXCL. DIET PRODUCTS",A08A,"ANTIOBESITY PREPARATIONS, EXCL. DIET PRODUCTS",A08AA,Centrally acting antiobesity products,A08AA08,clobenzorex
C0055897,IN,clobutinol,R05DB03,clobutinol,R,RESPIRATORY SYSTEM DRUGS,R05,COUGH AND COLD PREPARATIONS,R05D,"COUGH SUPPRESSANTS, EXCL. COMBINATIONS WITH EXPECTORANTS",R05DB,Other cough suppressants in ATC,R05DB03,clobutinol
C0055899,IN,clocortolone,D07AB21,clocortolone,D,DERMATOLOGICALS,D07,"CORTICOSTEROIDS, DERMATOLOGICAL PREPARATIONS",D07A,"CORTICOSTEROID DERMATOLOGICAL PREPARATIONS, PLAIN",D07AB,"Corticosteroids, moderately potent (group II)",D07AB21,clocortolone
C0055915,IN,clofoctol,J01XX03,clofoctol,J,ANTIINFECTIVES FOR SYSTEMIC USE,J01,ANTIBACTERIALS FOR SYSTEMIC USE,J01X,OTHER ANTIBACTERIALS in ATC,J01XX,Other antibacterials in ATC,J01XX03,clofoctol
C0055930,IN,cloperastine,R05DB21,cloperastine,R,RESPIRATORY SYSTEM DRUGS,R05,COUGH AND COLD PREPARATIONS,R05D,"COUGH SUPPRESSANTS, EXCL. COMBINATIONS WITH EXPECTORANTS",R05DB,Other cough suppressants in ATC,R05DB21,cloperastine
C0055936,IN,cloprednol,H02AB14,cloprednol,H,"SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS",H02,CORTICOSTEROIDS FOR SYSTEMIC USE,H02A,"CORTICOSTEROIDS FOR SYSTEMIC USE, PLAIN",H02AB,"Glucocorticoids, Systemic",H02AB14,cloprednol
C0055964,IN,cloxazolam,N05BA22,cloxazolam,N,NERVOUS SYSTEM DRUGS,N05,PSYCHOLEPTICS,N05B,ANXIOLYTICS,N05BA,Benzodiazepine derivative anxiolytics,N05BA22,cloxazolam
C0056039,IN,cobamamide,B03BA04,cobamamide,B,BLOOD AND BLOOD FORMING ORGAN DRUGS,B03,ANTIANEMIC PREPARATIONS,B03B,VITAMIN B12 AND FOLIC ACID,B03BA,Vitamin B12 (cyanocobalamin and analogues),B03BA04,cobamamide
C0056301,IN,copper sulfate,V03AB20,copper sulfate,V,VARIOUS DRUG CLASSES IN ATC,V03,ALL OTHER THERAPEUTIC PRODUCTS,V03A,ALL OTHER THERAPEUTIC PRODUCTS,V03AB,Antidotes,V03AB20,copper sulfate
C0056396,IN,cortivazol,H02AB17,cortivazol,H,"SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS",H02,CORTICOSTEROIDS FOR SYSTEMIC USE,H02A,"CORTICOSTEROIDS FOR SYSTEMIC USE, PLAIN",H02AB,"Glucocorticoids, Systemic",H02AB17,cortivazol
C0056643,IN,cyamemazine,N05AA06,cyamemazine,N,NERVOUS SYSTEM DRUGS,N05,PSYCHOLEPTICS,N05A,ANTIPSYCHOTICS,N05AA,"Phenothiazines with aliphatic side-chain, antipsychotics",N05AA06,cyamemazine
C0056732,IN,cyclobenzaprine,M03BX08,cyclobenzaprine,M,MUSCULO-SKELETAL SYSTEM DRUGS,M03,MUSCLE RELAXANTS,M03B,"MUSCLE RELAXANTS, CENTRALLY ACTING AGENTS",M03BX,Other centrally acting agents in ATC,M03BX08,cyclobenzaprine
C0056836,,,P03BA01,cyfluthrin,P,"ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS",P03,"ECTOPARASITICIDES, INCL. SCABICIDES, INSECTICIDES AND REPELLENTS",P03B,INSECTICIDES AND REPELLENTS,P03BA,Pyrethrines,P03BA01,cyfluthrin
C0056849,IN,cypermethrin,P03BA02,cypermethrin,P,"ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS",P03,"ECTOPARASITICIDES, INCL. SCABICIDES, INSECTICIDES AND REPELLENTS",P03B,INSECTICIDES AND REPELLENTS,P03BA,Pyrethrines,P03BA02,cypermethrin
C0056913,IN,cytisine,N07BA04,cytisinicline,N,NERVOUS SYSTEM DRUGS,N07,OTHER NERVOUS SYSTEM DRUGS in ATC,N07B,DRUGS USED IN ADDICTIVE DISORDERS,N07BA,Drugs used in nicotine dependence,N07BA04,cytisinicline
C0057135,IN,danthron,A06AB03,dantron,A,ALIMENTARY TRACT AND METABOLISM DRUGS,A06,DRUGS FOR CONSTIPATION,A06A,DRUGS FOR CONSTIPATION,A06AB,Contact laxatives,A06AB03,dantron
C0057143,IN,dapiprazole,S01EX02,dapiprazole,S,SENSORY ORGAN DRUGS,S01,OPHTHALMOLOGICALS,S01E,ANTIGLAUCOMA PREPARATIONS AND MIOTICS,S01EX,Other antiglaucoma preparations in ATC,S01EX02,dapiprazole
C0057144,IN,daptomycin,J01XX09,daptomycin,J,ANTIINFECTIVES FOR SYSTEMIC USE,J01,ANTIBACTERIALS FOR SYSTEMIC USE,J01X,OTHER ANTIBACTERIALS in ATC,J01XX,Other antibacterials in ATC,J01XX09,daptomycin
C0057218,,,H01BB01,demoxytocin,H,"SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS",H01,PITUITARY AND HYPOTHALAMIC HORMONES AND ANALOGUES,H01B,POSTERIOR PITUITARY LOBE HORMONES,H01BB,Oxytocin and analogues,H01BB01,demoxytocin
C0057232,,,D08AJ10,decamethoxine,D,DERMATOLOGICALS,D08,ANTISEPTICS AND DISINFECTANTS,D08A,ANTISEPTICS AND DISINFECTANTS,D08AJ,"Quaternary ammonium compounds, antiseptics and disinfectants",D08AJ10,decamethoxine
C0057233,IN,decamethrin,P03BA03,decamethrin,P,"ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS",P03,"ECTOPARASITICIDES, INCL. SCABICIDES, INSECTICIDES AND REPELLENTS",P03B,INSECTICIDES AND REPELLENTS,P03BA,Pyrethrines,P03BA03,decamethrin
C0057257,IN,defibrotide,B01AX01,defibrotide,B,BLOOD AND BLOOD FORMING ORGAN DRUGS,B01,ANTITHROMBOTIC AGENTS,B01A,ANTITHROMBOTIC AGENTS,B01AX,Other antithrombotic agents in ATC,B01AX01,defibrotide
C0057258,IN,deflazacort,H02AB13,deflazacort,H,"SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS",H02,CORTICOSTEROIDS FOR SYSTEMIC USE,H02A,"CORTICOSTEROIDS FOR SYSTEMIC USE, PLAIN",H02AB,"Glucocorticoids, Systemic",H02AB13,deflazacort
C0057301,,,C09AA12,delapril,C,CARDIOVASCULAR SYSTEM DRUGS,C09,AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,C09A,"ACE INHIBITORS, PLAIN",C09AA,"ACE inhibitors, plain",C09AA12,delapril
C0057362,IN,demegestone,G03DB05,demegestone,G,GENITO URINARY SYSTEM AND SEX HORMONES,G03,SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM,G03D,PROGESTOGEN SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM,G03DB,"Pregnadien derivatives, progestogens",G03DB05,demegestone
C0057558,IN,desogestrel,G03AC09,desogestrel,G,GENITO URINARY SYSTEM AND SEX HORMONES,G03,SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM,G03A,HORMONAL CONTRACEPTIVES FOR SYSTEMIC USE,G03AC,Progestogen systemic hormonal contraceptives,G03AC09,desogestrel
C0057605,IN,dexbrompheniramine,R06AB06,dexbrompheniramine,R,RESPIRATORY SYSTEM DRUGS,R06,ANTIHISTAMINES FOR SYSTEMIC USE,R06A,ANTIHISTAMINES FOR SYSTEMIC USE,R06AB,"Substituted alkylamines, systemic antihistamines",R06AB06,dexbrompheniramine
C0057606,IN,dexchlorpheniramine,R06AB02,dexchlorpheniramine,R,RESPIRATORY SYSTEM DRUGS,R06,ANTIHISTAMINES FOR SYSTEMIC USE,R06A,ANTIHISTAMINES FOR SYSTEMIC USE,R06AB,"Substituted alkylamines, systemic antihistamines",R06AB02,dexchlorpheniramine
C0057610,IN,dexpanthenol,A11HA30,dexpanthenol,A,ALIMENTARY TRACT AND METABOLISM DRUGS,A11,VITAMINS,A11H,OTHER PLAIN VITAMIN PREPARATIONS in ATC,A11HA,Other plain vitamin preparations in ATC,A11HA30,dexpanthenol
C0057610,IN,dexpanthenol,D03AX03,dexpanthenol,D,DERMATOLOGICALS,D03,PREPARATIONS FOR TREATMENT OF WOUNDS AND ULCERS,D03A,CICATRIZANTS,D03AX,Other cicatrizants in ATC,D03AX03,dexpanthenol
C0057610,IN,dexpanthenol,S01XA12,dexpanthenol,S,SENSORY ORGAN DRUGS,S01,OPHTHALMOLOGICALS,S01X,OTHER OPHTHALMOLOGICALS IN ATC,S01XA,Other ophthalmologicals in ATC,S01XA12,dexpanthenol
C0057621,IN,dextranomer,D03AX02,dextranomer,D,DERMATOLOGICALS,D03,PREPARATIONS FOR TREATMENT OF WOUNDS AND ULCERS,D03A,CICATRIZANTS,D03AX,Other cicatrizants in ATC,D03AX02,dextranomer
C0057626,IN,dezocine,N02AX03,dezocine,N,NERVOUS SYSTEM DRUGS,N02,ANALGESICS,N02A,OPIOID ANALGESICS,N02AX,Other opioids in ATC,N02AX03,dezocine
C0057678,IN,diacetylrhein,M01AX21,diacerein,M,MUSCULO-SKELETAL SYSTEM DRUGS,M01,ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS,M01A,"ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS, NON-STEROIDS",M01AX,"Other antiinflammatory and antirheumatic agents, non-steroids in ATC",M01AX21,diacerein
C0057763,,,R06AX16,deptropine,R,RESPIRATORY SYSTEM DRUGS,R06,ANTIHISTAMINES FOR SYSTEMIC USE,R06A,ANTIHISTAMINES FOR SYSTEMIC USE,R06AX,Other antihistamines for systemic use in ATC,R06AX16,deptropine
C0057831,IN,dichloralphenazone,N05CC04,dichloralphenazone,N,NERVOUS SYSTEM DRUGS,N05,PSYCHOLEPTICS,N05C,HYPNOTICS AND SEDATIVES,N05CC,Aldehydes and derivatives,N05CC04,dichloralphenazone
C0057846,IN,dichlorobenzyl alcohol,R02AA03,dichlorobenzyl alcohol,R,RESPIRATORY SYSTEM DRUGS,R02,THROAT PREPARATIONS,R02A,THROAT PREPARATIONS,R02AA,Antiseptic throat preparations,R02AA03,dichlorobenzyl alcohol
C0057916,IN,dienogest,G03DB08,dienogest,G,GENITO URINARY SYSTEM AND SEX HORMONES,G03,SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM,G03D,PROGESTOGEN SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM,G03DB,"Pregnadien derivatives, progestogens",G03DB08,dienogest
C0057981,IN,difenoxin,A07DA04,difenoxin,A,ALIMENTARY TRACT AND METABOLISM DRUGS,A07,"ANTIDIARRHEALS, INTESTINAL ANTIINFLAMMATORY/ANTIINFECTIVE AGENTS",A07D,ANTIPROPULSIVES,A07DA,Antipropulsives,A07DA04,difenoxin
C0058004,IN,difluprednate,D07AC19,difluprednate,D,DERMATOLOGICALS,D07,"CORTICOSTEROIDS, DERMATOLOGICAL PREPARATIONS",D07A,"CORTICOSTEROID DERMATOLOGICAL PREPARATIONS, PLAIN",D07AC,"Corticosteroids, potent (group III)",D07AC19,difluprednate
C0058004,IN,difluprednate,S01BA16,difluprednate,S,SENSORY ORGAN DRUGS,S01,OPHTHALMOLOGICALS,S01B,"ANTIINFLAMMATORY AGENTS, OPHTHALMOLOGIC",S01BA,"Corticosteroid ophthalmologic antiinflammatory agents, plain",S01BA16,difluprednate
C0058056,IN,dihydrocodeine,N02AA08,dihydrocodeine,N,NERVOUS SYSTEM DRUGS,N02,ANALGESICS,N02A,OPIOID ANALGESICS,N02AA,Natural opium alkaloid analgesics,N02AA08,dihydrocodeine
C0058192,,,R07AB08,dimefline,R,RESPIRATORY SYSTEM DRUGS,R07,OTHER RESPIRATORY SYSTEM PRODUCTS in ATC,R07A,OTHER RESPIRATORY SYSTEM PRODUCTS in ATC,R07AB,Respiratory stimulants,R07AB08,dimefline
C0058218,IN,dimethyl fumarate,L04AX07,dimethyl fumarate,L,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,L04,IMMUNOSUPPRESSANTS,L04A,IMMUNOSUPPRESSANTS,L04AX,Other immunosuppressants in ATC,L04AX07,dimethyl fumarate
C0058224,,,P03BX02,dimethylphthalate,P,"ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS",P03,"ECTOPARASITICIDES, INCL. SCABICIDES, INSECTICIDES AND REPELLENTS",P03B,INSECTICIDES AND REPELLENTS,P03BX,Other insecticides and repellents in ATC,P03BX02,dimethylphthalate
C0058389,IN,diphenylpyraline,R06AA07,diphenylpyraline,R,RESPIRATORY SYSTEM DRUGS,R06,ANTIHISTAMINES FOR SYSTEMIC USE,R06A,ANTIHISTAMINES FOR SYSTEMIC USE,R06AA,"Aminoalkyl ethers, systemic antihistamines",R06AA07,diphenylpyraline
C0058415,IN,dipivefrin,S01EA02,dipivefrine,S,SENSORY ORGAN DRUGS,S01,OPHTHALMOLOGICALS,S01E,ANTIGLAUCOMA PREPARATIONS AND MIOTICS,S01EA,Sympathomimetics in glaucoma therapy,S01EA02,dipivefrine
C0058425,IN,dipropizine,R05DB19,dropropizine,R,RESPIRATORY SYSTEM DRUGS,R05,COUGH AND COLD PREPARATIONS,R05D,"COUGH SUPPRESSANTS, EXCL. COMBINATIONS WITH EXPECTORANTS",R05DB,Other cough suppressants in ATC,R05DB19,dropropizine
C0058426,IN,dipropylacetamide,N03AG02,valpromide,N,NERVOUS SYSTEM DRUGS,N03,ANTIEPILEPTICS,N03A,ANTIEPILEPTICS,N03AG,"Fatty acid derivatives, antiepileptics",N03AG02,valpromide
C0058445,IN,dirithromycin,J01FA13,dirithromycin,J,ANTIINFECTIVES FOR SYSTEMIC USE,J01,ANTIBACTERIALS FOR SYSTEMIC USE,J01F,"MACROLIDES, LINCOSAMIDES AND STREPTOGRAMINS",J01FA,Macrolides,J01FA13,dirithromycin
C0058446,,,G02CB06,terguride,G,GENITO URINARY SYSTEM AND SEX HORMONES,G02,OTHER GYNECOLOGICALS in ATC,G02C,OTHER GYNECOLOGICALS in ATC,G02CB,Prolactine inhibitors,G02CB06,terguride
C0058518,,,N05AB01,dixyrazine,N,NERVOUS SYSTEM DRUGS,N05,PSYCHOLEPTICS,N05A,ANTIPSYCHOTICS,N05AB,"Phenothiazines with piperazine structure, antipsychotics",N05AB01,dixyrazine
C0058677,IN,domiphen,A01AB06,domiphen,A,ALIMENTARY TRACT AND METABOLISM DRUGS,A01,STOMATOLOGICAL PREPARATIONS,A01A,STOMATOLOGICAL PREPARATIONS,A01AB,Antiinfectives and antiseptics for local oral treatment,A01AB06,domiphen
C0058702,IN,dopexamine,C01CA14,dopexamine,C,CARDIOVASCULAR SYSTEM DRUGS,C01,CARDIAC THERAPY DRUGS,C01C,CARDIAC STIMULANTS EXCL. CARDIAC GLYCOSIDES,C01CA,Adrenergic and dopaminergic cardiac stimulants,C01CA14,dopexamine
C0058721,,,R03DA11,doxofylline,R,RESPIRATORY SYSTEM DRUGS,R03,DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES,R03D,OTHER SYSTEMIC DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES in ATC,R03DA,"Xanthines, systemic for obstructive airway disease",R03DA11,doxofylline
C0058762,IN,drotaverin,A03AD02,drotaverine,A,ALIMENTARY TRACT AND METABOLISM DRUGS,A03,DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,A03A,DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,A03AD,Papaverine and derivatives containing drugs for functional gastrointestinal disorders,A03AD02,drotaverine
C0058895,IN,ebastine,R06AX22,ebastine,R,RESPIRATORY SYSTEM DRUGS,R06,ANTIHISTAMINES FOR SYSTEMIC USE,R06A,ANTIHISTAMINES FOR SYSTEMIC USE,R06AX,Other antihistamines for systemic use in ATC,R06AX22,ebastine
C0059424,,,J01CA07,epicillin,J,ANTIINFECTIVES FOR SYSTEMIC USE,J01,ANTIBACTERIALS FOR SYSTEMIC USE,J01C,"BETA-LACTAM ANTIBACTERIALS, PENICILLINS",J01CA,Penicillins with extended spectrum,J01CA07,epicillin
C0059459,IN,epomediol,A05BA05,epomediol,A,ALIMENTARY TRACT AND METABOLISM DRUGS,A05,BILE AND LIVER THERAPY DRUGS,A05B,"LIVER THERAPY, LIPOTROPICS",A05BA,Liver therapy drugs,A05BA05,epomediol
C0059469,IN,eprazinone,R05CB04,eprazinone,R,RESPIRATORY SYSTEM DRUGS,R05,COUGH AND COLD PREPARATIONS,R05C,"EXPECTORANTS, EXCL. COMBINATIONS WITH COUGH SUPPRESSANTS",R05CB,Mucolytics,R05CB04,eprazinone
C0059506,IN,erdosteine,R05CB15,erdosteine,R,RESPIRATORY SYSTEM DRUGS,R05,COUGH AND COLD PREPARATIONS,R05C,"EXPECTORANTS, EXCL. COMBINATIONS WITH COUGH SUPPRESSANTS",R05CB,Mucolytics,R05CB15,erdosteine
C0059678,IN,etifoxine,N05BX03,etifoxine,N,NERVOUS SYSTEM DRUGS,N05,PSYCHOLEPTICS,N05B,ANXIOLYTICS,N05BX,Other anxiolytics in ATC,N05BX03,etifoxine
C0059680,,,R03DA06,etamiphylline,R,RESPIRATORY SYSTEM DRUGS,R03,DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES,R03D,OTHER SYSTEMIC DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES in ATC,R03DA,"Xanthines, systemic for obstructive airway disease",R03DA06,etamiphylline
C0059699,IN,ethanolamine oleate,C05BB01,monoethanolamine oleate,C,CARDIOVASCULAR SYSTEM DRUGS,C05,VASOPROTECTIVES,C05B,ANTIVARICOSE THERAPY DRUGS,C05BB,Sclerosing agents for local injection,C05BB01,monoethanolamine oleate
C0059752,IN,vinpocetine,N06BX18,vinpocetine,N,NERVOUS SYSTEM DRUGS,N06,PSYCHOANALEPTICS,N06B,"PSYCHOSTIMULANTS, AGENTS USED FOR ADHD AND NOOTROPICS",N06BX,Other psychostimulants and nootropics in ATC,N06BX18,vinpocetine
C0059772,IN,ethyl loflazepate,N05BA18,ethyl loflazepate,N,NERVOUS SYSTEM DRUGS,N05,PSYCHOLEPTICS,N05B,ANXIOLYTICS,N05BA,Benzodiazepine derivative anxiolytics,N05BA18,ethyl loflazepate
C0059862,,,N05BA19,etizolam,N,NERVOUS SYSTEM DRUGS,N05,PSYCHOLEPTICS,N05B,ANXIOLYTICS,N05BA,Benzodiazepine derivative anxiolytics,N05BA19,etizolam
C0059865,IN,etodolac,M01AB08,etodolac,M,MUSCULO-SKELETAL SYSTEM DRUGS,M01,ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS,M01A,"ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS, NON-STEROIDS",M01AB,Acetic acid derivatives and related substances,M01AB08,etodolac
C0059867,IN,etofamide,P01AC03,etofamide,P,"ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS",P01,ANTIPROTOZOALS,P01A,AGENTS AGAINST AMOEBIASIS AND OTHER PROTOZOAL DISEASES,P01AC,Dichloroacetamide derivative drugs for amoebiasis and other protozoal diseases,P01AC03,etofamide
C0059868,IN,etofenamate,M02AA06,etofenamate,M,MUSCULO-SKELETAL SYSTEM DRUGS,M02,TOPICAL PRODUCTS FOR JOINT AND MUSCULAR PAIN,M02A,TOPICAL PRODUCTS FOR JOINT AND MUSCULAR PAIN,M02AA,"Antiinflammatory preparations, non-steroids for topical use",M02AA06,etofenamate
C0059985,IN,fludarabine,L01BB05,fludarabine,L,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,L01,ANTINEOPLASTIC AGENTS,L01B,ANTIMETABOLITES,L01BB,"Purine analogs, antimetabolites antineoplastic",L01BB05,fludarabine
C0060135,IN,felbamate,N03AX10,felbamate,N,NERVOUS SYSTEM DRUGS,N03,ANTIEPILEPTICS,N03A,ANTIEPILEPTICS,N03AX,Other antiepileptics in ATC,N03AX10,felbamate
C0060156,IN,fenbufen,M01AE05,fenbufen,M,MUSCULO-SKELETAL SYSTEM DRUGS,M01,ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS,M01A,"ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS, NON-STEROIDS",M01AE,"Propionic acid derivatives, antiinflammatory and antirheumatic products",M01AE05,fenbufen
C0060180,IN,fenoldopam,C01CA19,fenoldopam,C,CARDIOVASCULAR SYSTEM DRUGS,C01,CARDIAC THERAPY DRUGS,C01C,CARDIAC STIMULANTS EXCL. CARDIAC GLYCOSIDES,C01CA,Adrenergic and dopaminergic cardiac stimulants,C01CA19,fenoldopam
C0060183,IN,fenoxazoline,R01AA12,fenoxazoline,R,RESPIRATORY SYSTEM DRUGS,R01,NASAL PREPARATIONS,R01A,DECONGESTANTS AND OTHER NASAL PREPARATIONS FOR TOPICAL USE,R01AA,"Sympathomimetics, plain",R01AA12,fenoxazoline
C0060201,,,M01AB10,fentiazac,M,MUSCULO-SKELETAL SYSTEM DRUGS,M01,ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS,M01A,"ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS, NON-STEROIDS",M01AB,Acetic acid derivatives and related substances,M01AB10,fentiazac
C0060201,,,M02AA14,fentiazac,M,MUSCULO-SKELETAL SYSTEM DRUGS,M02,TOPICAL PRODUCTS FOR JOINT AND MUSCULAR PAIN,M02A,TOPICAL PRODUCTS FOR JOINT AND MUSCULAR PAIN,M02AA,"Antiinflammatory preparations, non-steroids for topical use",M02AA14,fentiazac
