cui,rxnorm_tty,rxnorm_name,atc_codes,atc_labels
C0126177,IN,loteprednol etabonate,,
C0126774,IN,magnesium citrate,A06AD19;A12CC04;B05CB03,magnesium citrate
C0126775,,,,
C0126777,IN,magnesium gluconate,A12CC03,magnesium gluconate
C0126791,PIN,magnesium stearate,,
C0127061,,,,
C0127514,PIN,menadiol sodium phosphate,,
C0127615,IN,mesalamine,A07EC02,mesalazine
C0128232,,,,
C0128513,IN,milrinone,C01CE02,milrinone
C0128608,,,,
C0129341,,,L03AX15,mifamurtide
C0129975,,,B02AB04,camostat
C0130137,,,,
C0132092,,,J06BC01,nebacumab
C0132326,IN,nevirapine,J05AG01,nevirapine
C0132515,IN,nimesulide,M01AX17;M02AA26,nimesulide
C0132749,PIN,nomegestrol acetate,,
C0132776,IN,nonoxynol-9,,
C0133860,IN,"fatty acids, omega-6",,
C0134102,,,,
C0134337,IN,oxatomide,R06AE06,oxatomide
C0134796,,,,
C0136082,,,,
C0136123,IN,perindopril,C09AA04,perindopril
C0137440,PIN,dexchlorpheniramine maleate,,
C0137904,IN,polystyrene sulfonate,V03AE01,polystyrene sulfonate
C0137984,IN,potassium acetate,B05XA17,potassium acetate
C0137988,IN,aluminum potassium sulfate,S01XA07,alum
C0137996,IN,potassium citrate,A12BA02,potassium citrate
C0138037,IN,dibasic potassium phosphate,,
C0138038,PIN,monobasic potassium phosphate,,
C0138305,,,R05DB18,prenoxdiazine
C0138395,,,,
C0138666,IN,propiverine,G04BD06,propiverine
C0139007,IN,prothipendyl,N05AX07,prothipendyl
C0139693,,,,
C0139977,PIN,regenerated cellulose,,
C0140182,,,,
C0140515,,,,
C0140575,IN,rifabutin,J04AB04,rifabutin
C0140594,IN,rimexolone,H02AB12;S01BA13,rimexolone
C0140610,IN,risedronic acid,M05BA07,risedronic acid
C0141500,,,,
C0141756,PIN,methscopolamine bromide,,
C0141757,,,,
C0142046,IN,sermorelin,H01AC04;V04CD03,sermorelin
C0142221,,,,
C0142710,,,,
C0142785,IN,sodium acetate,B05XA08,sodium acetate
C0142822,IN,sodium chlorite,D03AX11,sodium chlorite
C0142825,IN,sodium citrate,B05CB02,sodium citrate
C0142890,PIN,sodium monofluorophosphate,A01AA02;A12CD02,sodium monofluorophosphate
C0143083,IN,somatrem,H01AC02,somatrem
C0143961,IN,succinylated gelatin,,
C0143993,IN,sufentanil,N01AH03,sufentanil
C0144567,IN,taurolidine,B05CA05,taurolidine
C0144576,IN,paclitaxel,L01CD01,paclitaxel
C0145028,,,,
C0145055,PIN,technetium Tc 99m exametazime,V09AA01,technetium (99mTc) exametazime
C0145106,IN,teicoplanin,J01XA02,teicoplanin
C0145184,IN,terizidone,J04AK03,terizidone
C0145185,IN,terlipressin,H01BA04,terlipressin
C0145663,,,,
C0146010,IN,tixocortol,A07EA05;R01AD07,tixocortol
C0146011,IN,tizanidine,M03BX02,tizanidine
C0146224,IN,topotecan,L01CE01,topotecan
C0146337,IN,tranilast,,
C0147942,IN,diatrizoic acid,V08AA01,diatrizoic acid
C0148405,,,,
C0149368,IN,zinc acetate,A16AX05,zinc acetate
C0149381,IN,zinc gluconate,A12CB02,zinc gluconate
C0149500,,,,
C0162357,,,,
C0162480,,,,
C0162680,PIN,technetium Tc 99m sestamibi,V09GA01,technetium (99mTc) sestamibi
C0162745,IN,collagenase,D03BA02,collagenase
C0162831,,,,
C0162922,,,V08CX01,perflubron
C0163054,,,,
C0163055,IN,metaxalone,,
C0163069,IN,Eucalyptus oil,,
C0163115,,,,
C0163159,,,,
C0163272,IN,brivudine,J05AB15,brivudine
C0163543,,,,
C0163557,IN,moxidectin,P02CX03,moxidectin
C0163564,,,,
C0163642,,,,
C0163657,IN,chromium picolinate,,
C0163703,,,,
C0163721,IN,ethyl nitrite,,
C0163748,,,A07BC05,diosmectite
C0164155,,,,
C0164398,IN,atosiban,G02CX01,atosiban
C0164662,IN,stavudine,J05AF04,stavudine
C0164674,IN,pegademase bovine,L03AX04,pegademase
C0164815,IN,penciclovir,D06BB06;J05AB13,penciclovir
C0165032,IN,imiquimod,D06BB10,imiquimod
C0165479,,,,
C0165590,IN,dorzolamide,S01EC03,dorzolamide
C0165603,IN,atovaquone,P01AX06,atovaquone
C0165631,IN,adapalene,D10AD03,adapalene
C0165703,IN,imidapril,C09AA16,imidapril
C0165747,,,,
C0165921,IN,entacapone,N04BX02,entacapone
C0166237,,,,
C0166273,,,,
C0166524,,,,
C0167117,IN,exenatide,A10BJ01,exenatide
C0167626,PIN,estradiol 3-benzoate,,
C0167627,,,,
C0168273,IN,bivalirudin,B01AE06,bivalirudin
C0168388,IN,reboxetine,N06AX18,reboxetine
C0169964,IN,somatropin,H01AC01,somatropin
C0170531,PIN,4-phenylbutyric acid,,
C0170737,,,,
C0171023,IN,olanzapine,N05AH03,olanzapine
C0171302,IN,mizolastine,R06AX25,mizolastine
C0171346,,,,
C0171447,,,J01MA21,sitafloxacin
C0172379,IN,citronella oil,,
C0172907,IN,flutrimazole,D01AC16;G01AF18,flutrimazole
C0173050,IN,cocamidopropyl betaine,,
C0173083,IN,nitisinone,A16AX04,nitisinone
C0174883,IN,cresol,,
C0174938,PIN,methylprednisolone aceponate,D07AC14,methylprednisolone aceponate
C0175022,,,J01MA18,pazufloxacin
C0175035,IN,exametazime,,
C0178487,IN,ascorbate,,
C0178525,,,,
C0178596,,,,
C0178626,IN,ethacrynate,,
C0178627,IN,ethylenediaminetetraacetate,,
C0178638,IN,folate,,
C0178695,IN,hyaluronate,,
C0178793,IN,pantothenate,,
C0178882,IN,ursodeoxycholate,,
C0202474,IN,strychnine,,
C0205679,IN,montmorrillonite,,
C0205687,,,,
C0205758,IN,racepinephrine,,
C0205843,,,,
C0205996,IN,pristinamycin,J01FG01,pristinamycin
C0206008,IN,2-mercaptoethanesulfonic acid,,
C0206026,,,,
C0206232,IN,nadroparin,B01AB06,nadroparin
C0206460,IN,enoxaparin,B01AB05,enoxaparin
C0206461,IN,dalteparin,B01AB04,dalteparin
C0206788,,,L01DB05,zorubicin
C0206794,,,,
C0206816,IN,diloxanide,P01AC01,diloxanide
C0207011,IN,myrrh extract,,
C0207214,PIN,"calcium phosphate, dihydrate",,
C0207683,,,,
C0208225,IN,ethyl pyruvate,,
C0208407,,,,
C0209210,IN,dolasetron,A04AA04,dolasetron
C0209211,IN,lanreotide,H01CB03,lanreotide
C0209227,IN,famciclovir,J05AB09;S01AD07,famciclovir
C0209263,PIN,piroxicam-beta-cyclodextrin,,
C0209337,IN,rocuronium,,
C0209366,IN,cetrorelix,H01CC02,cetrorelix
C0209368,IN,mycophenolate mofetil,,
C0209475,,,J01DH05,biapenem
C0209660,,,,
C0209738,IN,lamivudine,J05AF05,lamivudine
C0210380,,,N05AL07,levosulpiride
C0210403,,,,
C0210630,IN,filgrastim,L03AA02,filgrastim
C0210638,,,,
C0210657,IN,pemetrexed,L01BA04,pemetrexed
C0211011,IN,ziconotide,N02BG08,ziconotide
C0211492,,,V09GA02,technetium (99mTc) tetrofosmin
C0212361,,,,
C0212750,IN,borage oil,,
C0213314,,,,
C0213404,IN,rufinamide,N03AF03,rufinamide
C0213771,IN,tiotropium,,
C0214192,,,,
C0214439,IN,marbofloxacin,,
C0215002,,,,
C0215087,,,G04BX14,dapoxetine
C0215737,,,,
C0216046,,,,
C0216194,IN,tea tree oil,,
C0216231,IN,sargramostim,L03AA09,sargramostim
C0216278,IN,tinzaparin,B01AB10,tinzaparin
C0216660,IN,zanamivir,J05AH01,zanamivir
C0216784,IN,valsartan,C09CA03,valsartan
C0216938,,,,
C0216971,PIN,colfosceril palmitate,R07AA01,colfosceril palmitate
C0217385,IN,pentetreotide,,
C0218068,,,,
C0218166,,,,
C0218499,IN,imidacloprid,,
C0218633,IN,molgramostim,L03AA03,molgramostim
C0218640,IN,lenograstim,L03AA10,lenograstim
C0218986,IN,aldesleukin,L03AC01,aldesleukin
C0219269,,,,
C0219461,,,,
C0220578,IN,palonosetron,A04AA05,palonosetron
C0220802,IN,butyrate,,
C0220839,IN,glutamate,,
C0220853,IN,hydroxide ion,,
C0220889,IN,oxaloacetate,,
C0242531,IN,vecuronium,M03AC03,vecuronium
C0242864,IN,amber,,
C0243264,IN,hydroxytyrosol,,
C0243449,,,R06AX31,quifenadine
C0243666,,,L01AD07,ranimustine
C0243902,,,,
C0244221,,,,
C0244404,IN,raloxifene,G03XC01,raloxifene
C0244485,,,,
C0244656,IN,fosphenytoin,N03AB05,fosphenytoin
C0244672,PIN,fluorodopa F-18,V09IX05,fluorodopa (18F)
C0244713,IN,interferon beta-1b,L03AB08,interferon beta-1b
C0244714,PIN,recombinant interferon beta-1b,,
C0244748,,,L03AX02,roquinimex
C0244821,IN,ropinirole,N04BC04,ropinirole
C0244994,IN,wheat germ oil,,
C0245109,IN,anakinra,L04AC03,anakinra
C0245179,IN,tirilazad,N07XX01,tirilazad
C0245194,,,,
C0245514,IN,troglitazone,A10BG01,troglitazone
C0245561,IN,duloxetine,N06AX21,duloxetine
C0245712,,,,
C0246154,,,V08CA08,gadobenic acid
C0246269,IN,icatibant,B06AC02,icatibant
C0246415,IN,docetaxel,L01CD02,docetaxel
C0246421,IN,letrozole,L02BG04,letrozole
C0246584,,,J01DE03,cefozopran
C0246631,IN,remifentanil,N01AH06,remifentanil
C0246689,IN,repaglinide,A10BX02,repaglinide
C0246719,IN,risedronate,,
C0246904,IN,levosimendan,C01CX08,levosimendan
C0247025,IN,tirofiban,B01AC17,tirofiban
C0247194,IN,iloperidone,N05AX14,iloperidone
C0247947,,,,
C0248719,IN,telmisartan,C09CA07,telmisartan
C0249458,IN,valacyclovir,J05AB11,valaciclovir
C0249529,IN,febuxostat,M04AA03,febuxostat
C0249582,IN,paricalcitol,H05BX02,paricalcitol
C0249692,,,,
C0250317,,,,
C0251504,IN,zaleplon,N05CF03,zaleplon
C0251515,PIN,corticorelin ovine triflutate,,
C0251516,PIN,corticorelin ovine,,
C0252643,IN,bosentan,C02KX01,bosentan
C0252667,,,V09IX13,methionine (11C)
C0253239,,,,
C0253336,,,,
C0253563,IN,eptifibatide,B01AC16,eptifibatide
C0253787,,,,
C0253907,PIN,testosterone isocaproate,,
C0254119,IN,interferon beta-1a,L03AB07,interferon beta-1a
C0254123,,,,
C0254211,,,J05AX13,umifenovir
C0254215,IN,reviparin,B01AB08,reviparin
C0254216,PIN,reviparin sodium,,
C0256089,IN,quinagolide,G02CB04,quinagolide
C0256103,IN,reteplase,B01AD07,reteplase
C0256552,,,N07CA04,acetylleucine
C0257190,IN,ivabradine,C01EB17,ivabradine
C0257343,IN,tamsulosin,G04CA02,tamsulosin
C0257662,,,,
C0257685,IN,zoledronic acid,M05BA08,zoledronic acid
C0257715,IN,octocrylene,,
C0259507,IN,danaparoid,B01AB09,danaparoid
C0262964,IN,capreomycin,J04AB30,capreomycin
C0262965,IN,chlormadinone,G03DB06,chlormadinone
C0280849,,,,
C0280858,,,,
C0280970,,,,
C0281351,IN,uridine triacetate,A16AX13,uridine triacetate
C0281398,IN,phenylbutyrate,,
C0281581,IN,dinutuximab,,
C0281603,,,,
C0281666,IN,alitretinoin,D11AH04;L01XF02,alitretinoin
C0281743,,,,
C0282045,PIN,"aluminum hydroxide, dried (USP)",,
C0282085,IN,canrenoic acid,,
C0282327,IN,Plantago seed,,
C0282328,IN,ispaghula extract,,
C0282386,IN,levofloxacin,J01MA12;S01AE05,levofloxacin
C0282774,IN,pimagedine,,
C0283986,,,,
C0284559,,,L04AA19,gusperimus
C0284573,,,,
C0284581,,,,
C0284620,,,,
C0284941,IN,acamprosate,N07BB03,acamprosate
C0285590,IN,bicalutamide,L02BB03,bicalutamide
C0286079,IN,cidofovir,J05AB12,cidofovir
C0286382,IN,polaprezinc,,
C0286402,,,D10AF05,nadifloxacin
C0286651,IN,atorvastatin,C10AA05,atorvastatin
C0286738,IN,saquinavir,J05AE01,saquinavir
C0287041,IN,eprosartan,C09CA02,eprosartan
C0287262,IN,lufenuron,,
C0287573,IN,cefditoren,J01DD16,cefditoren
C0287721,IN,grepafloxacin,J01MA11,grepafloxacin
C0287806,,,,
C0287983,,,,
C0288165,IN,delavirdine,J05AG02,delavirdine
C0288171,IN,irbesartan,C09CA04,irbesartan
C0288672,IN,abciximab,B01AC13,abciximab
C0288792,IN,tazarotene,D05AX05,tazarotene
C0289313,IN,rosiglitazone,A10BG02,rosiglitazone
C0289521,,,,
C0289779,,,,
C0289969,,,,
C0290883,IN,anastrozole,L02BG03,anastrozole
C0291140,IN,imiglucerase,A16AB02,imiglucerase
C0291772,IN,alosetron,A03AE01,alosetron
C0292818,IN,ritonavir,J05AE03,ritonavir
C0293227,,,,
C0293359,IN,insulin lispro,A10AB04;A10AC04;A10AD04,insulin lispro
C0293969,IN,pralmorelin,,
C0294361,,,,
C0296800,IN,fexofenadine,R06AX26,fexofenadine
C0296806,IN,iobitridol,V08AB11,iobitridol
C0297635,IN,rizatriptan,N02CC04,rizatriptan
C0297960,,,,
C0298067,IN,pirfenidone,L04AX05,pirfenidone
C0298130,IN,montelukast,R03DC03,montelukast
C0298346,,,,
C0299583,IN,leptin,,
C0299792,IN,aripiprazole,N05AX12,aripiprazole
C0300205,IN,ulipristal,G03AD02;G03XB02,ulipristal
C0301008,PIN,"triphosphoric acid, sodium salt",,
C0301037,IN,dichlorobenzene,,
C0301042,IN,phenoxyethanol,,
C0301063,,,,
C0301249,IN,cinnamon oil,,
C0301302,,,D01AE02;G01AX09,methylrosaniline
C0301304,IN,phenylmercuric nitrate,D09AA04,phenylmercuric nitrate
C0301359,,,,
C0301366,IN,ecothiopate,S01EB03,ecothiopate
C0301370,IN,"belladonna extract, USP",,
C0301371,IN,diphemanil,A03AB15,diphemanil
C0301374,IN,methscopolamine,A03BB03;S01FA03,methylscopolamine
C0301375,,,A03AB04,penthienate
C0301387,IN,xanthinol,,
C0301421,IN,witch hazel,,
C0301465,,,,
C0301499,IN,ferrous carbonate,B03AA04,ferrous carbonate
C0301503,IN,"rabies immune globulin, human",J06BB05,rabies immunoglobulin
C0301504,IN,Latrodectus mactans antivenin,,
C0301508,,,J07BL;J07BL01,"Yellow fever vaccines;yellow fever, live attenuated"
C0301513,IN,human vaccinia immune globulin,J06BB07,vaccinia immunoglobulin
C0301527,IN,potassium gluconate,A12BA05,potassium gluconate
C0301704,IN,phosphatidylserine,,
C0302228,PIN,anhydrous lanolin,,
C0302583,IN,iron,,
C0302920,,,,
C0302928,IN,chloric acid,,
C0302933,IN,natural graphite,,
C0302967,,,,
C0302995,,,,
C0303029,PIN,iodine I-131,,
C0303212,PIN,chromium Cr-51,,
C0303322,,,,
C0303403,PIN,indium-111,,
C0303596,,,,
C0303667,,,,
C0304095,IN,anise oil,,
C0304114,IN,rosemary oil,,
C0304119,IN,thyme oil,,
C0304315,PIN,griseofulvin microsize,,
C0304316,,,,
C0304348,IN,acetyl salicylate,,
C0304441,PIN,theophylline anhydrous,,
C0304456,PIN,tetracaine hydrochloride,,
C0304612,IN,diflorasone,D07AC10,diflorasone
C0304625,,,,
C0304631,IN,homosalate,,
C0304632,IN,octisalate,,
C0304866,,,A10AB02;A10AC02;A10AD02;A10AE02,insulin (beef)
C0304925,IN,"albumin human, USP",,
C0304955,IN,sodium chromate Cr51,,
C0304982,PIN,sodium iodide I131,V09FX03;V10XA01,sodium iodide (131I)
C0305030,,,,
C0305040,PIN,thallous chloride Tl201,V09GX01,thallium (201Tl) chloride
C0305048,IN,polyvalent Crotalidae antivenin,,
C0305058,PIN,"tetanus immune globulin, human",,
C0305062,IN,"tetanus toxoid vaccine, inactivated",J07AM01,tetanus toxoid
C0311668,,,,
C0314976,IN,Bifidobacterium infantis,,
C0317925,,,,
C0337081,,,,
C0338344,,,,
C0347993,IN,pyrethrum extract,P03AC01,pyrethrum
C0348029,IN,terpineol,,
C0350411,,,,
C0352536,PIN,hydrocortisone butyrate,D07AB02,hydrocortisone butyrate
C0353490,PIN,metronidazole benzoate,,
C0353902,PIN,kaolin light,,
C0353946,IN,ispaghula husk,,
C0354599,PIN,tinzaparin sodium,,
C0356357,,,P02CX02,bephenium
C0357059,IN,ferrous glycine sulfate,B03AA01,ferrous glycine sulfate
C0357084,IN,sodium ironedetate,B03AB03,sodium feredetate
C0357126,IN,epoetin alfa,,
C0357131,IN,epoetin beta,,
C0358297,,,J07AC,Anthrax vaccines
C0358321,,,J06BA,"Immunoglobulins, normal human"
C0358606,,,,
C0359156,PIN,rabbit anti-human T-lymphocyte globulin,L04AA04,antithymocyte immunoglobulin (rabbit)
C0359299,PIN,sterile water,,
C0360518,IN,clobetasone,D07AB01;S01BA09,clobetasone
C0360534,IN,alclometasone,D07AB10;S01BA10,alclometasone
C0360564,IN,mometasone,D07AC13;D07XC03;R01AD09;R03BA07,mometasone
C0369246,IN,fusidate,,
C0370086,IN,trichloroacetate,,
C0373704,IN,pregnenolone,,
C0376160,IN,zuclopenthixol,N05AF05,zuclopenthixol
C0376236,,,,
C0376541,,,,
C0376597,,,,
C0376637,IN,indinavir,J05AE02,indinavir
C0376892,IN,polihexanide,D08AC05;S01AX24,polihexanide
C0376959,,,,
C0377223,IN,arginine glutamate,A05BA01,arginine glutamate
C0377265,IN,levetiracetam,N03AX14,levetiracetam
C0377349,PIN,sodium glycerophosphate,B05XA14,sodium glycerophosphate
C0378366,IN,desirudin,B01AE01,desirudin
C0378466,IN,zafirlukast,R03DC01,zafirlukast
C0378482,IN,rabeprazole,A02BC04,rabeprazole
C0378675,,,C08CA14,cilnidipine
C0379135,IN,becaplermin,A01AD08;D03AX06,becaplermin
C0379142,,,,
C0379149,IN,temoporfin,L01XD05,temoporfin
C0379199,IN,ibandronate,,
C0379200,PIN,ibandronic acid,M05BA06,ibandronic acid
C0379247,,,,
C0379624,,,,
C0379881,IN,trovafloxacin,J01MA13,trovafloxacin
C0379955,PIN,indium In-111 pentetreotide,V09IB01,indium (111In) pentetreotide
C0380393,IN,ziprasidone,N05AE04,ziprasidone
C0380453,,,,
C0382979,,,,
C0383429,IN,alemtuzumab,L04AG06,alemtuzumab
C0384228,IN,tenofovir,,
C0385234,,,,
C0385603,,,,
C0386917,,,,
C0387288,IN,verteporfin,S01LA01,verteporfin
C0388013,IN,respiratory syncytial virus immune globulin intravenous,,
C0388014,BN,Respigam,,
C0388638,,,L01XX57,plitidepsin
C0388753,IN,tolterodine,G04BD07,tolterodine
C0388976,,,,
C0389169,IN,doripenem,J01DH04,doripenem
C0390368,,,,
C0390643,,,,
C0390645,IN,bifenthrin,,
C0391001,IN,peginterferon alfa-2a,L03AB11,peginterferon alfa-2a
C0391444,,,,
C0391770,IN,2-octyl cyanoacrylate,,
C0392927,,,,
C0392938,,,,
C0392939,,,,
C0392999,,,,
C0393022,IN,rituximab,L01FA01,rituximab
C0393080,IN,voriconazole,J02AC03,voriconazole
C0439908,,,,
C0439963,IN,chamomile extract,,
C0439995,,,,
C0440310,,,,
C0443369,,,,
C0443469,,,,
C0443770,IN,heptanoic acid,,
C0453269,IN,bilberry extract,,
C0458160,IN,grape seed oil,,
C0492835,,,,
C0520472,IN,levonordefrin,,
C0521943,IN,activated attapulgite,,
C0522465,,,,
C0524639,IN,urofollitropin,G03GA04,urofollitropin
C0524764,,,,
C0524770,,,,
C0525005,IN,nelfinavir,J05AE04,nelfinavir
C0525079,IN,bendamustine,L01AA09,bendamustine
C0525094,,,,
C0525166,,,,
C0525227,IN,brimonidine,D11AX21;S01EA05;S01GA07,brimonidine
C0525503,,,,
C0525678,IN,rasagiline,N04BD02,rasagiline
C0526058,,,R03DC02,pranlukast
C0526280,,,,
C0526371,IN,midostaurin,L01EX10,midostaurin
C0526399,IN,lercanidipine,C08CA13,lercanidipine
C0526501,IN,mosapride,A03FA09,mosapride
C0526950,,,,
C0527129,,,J01MA17,prulifloxacin
C0527189,IN,olopatadine,R01AC08;S01GX09,olopatadine
C0527316,IN,donepezil,N06DA02,donepezil
C0527379,PIN,candesartan cilexetil,,
C0527443,,,,
C0528023,IN,cerivastatin,C10AA06,cerivastatin
C0528166,IN,zolmitriptan,N02CC03,zolmitriptan
C0528458,,,,
C0529257,,,,
C0529793,IN,sildenafil,G04BE03,sildenafil
C0530684,IN,ezogabine,N03AX21,retigabine
C0531104,IN,lumefantrine,,
C0531483,,,A03FA07,itopride
C0532362,,,,
C0532578,,,A10BF03,voglibose
C0533545,IN,gemifloxacin,J01MA15,gemifloxacin
C0533979,,,,
C0534301,,,R06AX28,rupatadine
C0534628,,,,
C0536004,IN,magnesium orotate,A12CC09,magnesium orotate
C0536128,,,,
C0536495,IN,moxifloxacin,J01MA14;S01AE07,moxifloxacin
C0537147,IN,tegaserod,A06AX06,tegaserod
C0537150,IN,ganaxolone,N03AX27,ganaxolone
C0537270,IN,insulin detemir,A10AE05,insulin detemir
C0537439,IN,enfuvirtide,J05AX07,enfuvirtide
C0537551,IN,pramlintide,A10BX05,pramlintide
C0537670,IN,oprelvekin,L03AC02,oprelvekin
C0537894,IN,caspofungin,J02AX04,caspofungin
C0537916,,,,
C0538161,,,,
C0538727,IN,icodextrin,,
C0538777,IN,ancestim,L03AA12,ancestim
C0538927,IN,celecoxib,L01XX33;M01AH01,celecoxib
C0539568,,,,
C0539751,,,,
C0540209,IN,3-iodo-2-propynylbutylcarbamate,,
C0540301,IN,C1 esterase inhibitor,,
C0540623,IN,naratriptan,N02CC02,naratriptan
C0540694,PIN,adefovir dipivoxil,J05AF08,adefovir dipivoxil
C0540776,IN,alatrofloxacin,,
C0541153,,,J01DI03,faropenem
C0541155,IN,colesevelam,C10AC04,colesevelam
C0541315,IN,everolimus,L01EG02;L04AH02,everolimus
C0543448,IN,magnesium aspartate,A12CC05,magnesium aspartate
C0546173,IN,calcium ascorbate,,
C0546861,PIN,doxorubicin hydrochloride,,
C0555881,IN,Arnica extract,,
C0556150,PIN,docosahexaenoic acid,,
C0556246,PIN,sodium hydrogen sulfite,,
C0589330,IN,copper chloride,,
C0591085,BN,Amsidine,,
C0591170,BN,Beta-Cardone,,
C0591457,BN,Erwinase,,
C0591466,BN,Ethmozine,,
C0591617,BN,Hydrea,,
C0591789,,,,
C0591940,BN,Palfium,,
C0592532,IN,certoparin,,
C0593051,,,,
C0593408,,,,
C0594647,,,,
C0596004,IN,hyoscyamine,A03BA03,hyoscyamine
C0596019,IN,chloride ion,,
C0597277,IN,potassium ion,,
C0597418,,,,
C0597484,IN,sodium cation,,
C0597765,,,,
C0600174,,,,
C0600175,IN,carbamoylcholine,,
C0600203,PIN,dichloroacetic acid,,
C0600214,,,,
C0600296,IN,pentosan polysulfate,,
C0600334,IN,silybin,,
C0600370,IN,methacholine,V04CX03,methacholine
C0600489,IN,phenolphthalein,A06AB04,phenolphthalein
C0600556,PIN,oxaloacetic acid,,
C0600611,IN,poloxamer 188,,
C0604145,,,,
C0605222,,,,
C0605321,,,,
C0606070,IN,tocophersolan,A11HA08,tocofersolan
C0609416,IN,triethyl citrate,,
C0612688,PIN,hydrocortisone cypionate,,
C0613652,,,,
C0614721,,,A12CC07,magnesium levulinate
C0616472,,,,
C0616474,,,,
C0617939,,,,
C0619323,,,N06AX15,pivagabine
C0620902,,,,
C0621857,,,,
C0628822,,,,
C0630631,,,,
C0630704,,,,
C0636067,,,,
C0637063,,,,
C0641983,,,,
C0645096,,,,
C0647750,,,,
C0648910,,,,
C0649350,IN,rivastigmine,N06DA03,rivastigmine
C0650237,IN,clofezone,M01AA05;M02AA03,clofezone
C0651667,,,,
C0653907,,,,
C0654036,,,,
C0654934,IN,amiloxate,,
C0656780,,,,
C0657912,IN,pregabalin,N02BF02,pregabalin
C0662811,,,C09CA05,tasosartan
C0662880,,,,
C0663182,IN,daclizumab,L04AC01,daclizumab
C0663241,IN,linezolid,J01XX08,linezolid
C0663483,,,,
C0663655,IN,abacavir,J05AF06,abacavir
C0663733,IN,tipranavir,J05AE09,tipranavir
C0663932,,,,
C0664850,,,,
C0664965,,,,
C0666513,IN,perflenapent,V08DA03,perflenapent
C0666743,IN,infliximab,L04AB02,infliximab
C0667581,,,,
C0668202,,,,
C0668961,,,B01AE04,melagatran
C0669247,IN,microcrystalline cellulose,,
C0671970,IN,capecitabine,L01BC06,capecitabine
C0672596,IN,palivizumab,J06BD01,palivizumab
C0672708,IN,vorinostat,L01XH01,vorinostat
C0673093,PIN,4-hydroxybutyric acid,,
C0673470,IN,istradefylline,N04CX01,istradefylline
C0673857,,,,
C0673892,,,,
C0673966,IN,brinzolamide,S01EC04,brinzolamide
C0674428,IN,efavirenz,J05AG03,efavirenz
C0674432,IN,lopinavir,,
C0675974,,,,
C0676720,,,,
C0676831,IN,basiliximab,L04AC02,basiliximab
C0677517,IN,fluoride ion,,
C0677667,IN,raltitrexed,L01BA03,raltitrexed
C0677829,IN,palifermin,V03AF08,palifermin
C0677942,PIN,samarium Sm153,,
C0678133,BN,Taxol,,
C0678449,,,,
C0699278,,,,
C0699300,,,,
C0699305,,,,
C0699376,BN,Folacin,,
C0699601,BN,Diflucan,,
C0699665,,,,
C0699817,IN,interferon alfa-n1,L03AB06,interferon alfa-n1
C0700083,,,,
C0700189,BN,Lithonate,,
C0700346,PIN,"antihemophilic factor, human",,
C0700413,,,,
C0700580,PIN,ipratropium bromide,R01AX03;R03BB01,ipratropium bromide
C0700602,IN,evening primrose oil,,
C0700784,,,,
C0700903,,,,
C0700930,,,,
C0701180,BN,Minprostin F2 Alpha,,
C0701195,BN,DDAVP,,
C0701492,,,,
C0701904,,,,
C0701928,,,,
C0702049,,,,
C0702050,,,,
C0702060,,,,
C0702211,,,,
C0702232,BN,Trisoralen,,
C0717403,,,,
C0717537,IN,calcium acetate,V03AE07,calcium acetate
C0717550,IN,candesartan,C09CA06,candesartan
C0717551,IN,Candida albicans allergenic extract,,
C0717668,PIN,daunorubicin liposomal,,
C0717670,IN,denileukin diftitox,L01XX29,denileukin diftitox
C0717685,IN,dextran 1,,
C0717758,IN,etanercept,L04AB01,etanercept
C0717787,IN,glatiramer,,
C0718043,IN,sacrosidase,A16AB06,sacrosidase
C0718050,IN,sevelamer,V03AE02,sevelamer
C0718070,,,,
C0718192,,,,
C0718290,BN,Aerozoin,,
C0718316,BN,Albamycin,,
C0718495,PIN,ammonium lactate,,
C0718909,IN,compound benzoin tincture (USP),,
C0719064,IN,choline magnesium trisalicylate,,
C0719688,BN,Decholin,,
C0719741,IN,denatured ethanol,,
C0722641,,,,
C0723270,PIN,senna concentrate,,
C0724349,PIN,vitamin E DL-alpha,,
C0724441,IN,yohimbine,G04BE04,yohimbine
C0724526,PIN,ampicillin (anhydrous),,
C0724532,PIN,"antithrombin III, human",,
C0724551,PIN,chlorpheniramine polistirex,,
C0724560,IN,colloidal oatmeal,,
C0724584,PIN,"coagulation factor IX, human",,
C0724588,,,,
C0724601,IN,"insulin, regular, pork",,
C0724624,IN,medium chain triglycerides,,
C0724659,PIN,phentermine resin,,
C0724672,IN,polyethylene glycol 3350,,
C0724695,,,,
C0724699,IN,standardized senna concentrate,,
C0725101,IN,"alum, potassium",,
C0725584,IN,chamomile flowers,,
C0725616,PIN,"citric acid, anhydrous",,
C0727050,IN,"mineral oil, light",,
C0727537,,,,
C0728740,BN,Ethamolin,,
C0728747,IN,trastuzumab,L01FD01,trastuzumab
C0728810,,,V03AB29,cholinesterase
C0728873,,,,
C0728898,,,,
C0730719,,,,
C0730920,BN,Thymoglobulin,,
C0732290,PIN,urea c-13,V04CX05,13C-urea
C0733397,IN,masoprocol,L01XX10,masoprocol
C0733530,,,,
C0733609,IN,sultilains,,
C0733758,IN,follicle stimulating hormone,,
C0733869,,,,
C0733899,,,,
C0740123,BN,8-MOP,,
C0740138,,,,
C0740143,,,,
C0751599,,,,
C0751600,BN,Intron A,,
