cui,rxnorm_tty,rxnorm_name,atc_code,atc_name,L1_code,L1_name,L2_code,L2_name,L3_code,L3_name,L4_code,L4_name,L5_code,L5_name,unique_pub_count
C0033059,IN,prenylamine,C01DX02,prenylamine,C,CARDIOVASCULAR SYSTEM DRUGS,C01,CARDIAC THERAPY DRUGS,C01D,VASODILATORS USED IN CARDIAC DISEASES,C01DX,Other vasodilators used in cardiac diseases in ATC,C01DX02,prenylamine,1
C0033124,IN,prilocaine,N01BB04,prilocaine,N,NERVOUS SYSTEM DRUGS,N01,ANESTHETICS,N01B,LOCAL ANESTHETICS,N01BB,Amide local anesthetics,N01BB04,prilocaine,327
C0033126,IN,primaquine,P01BA03,primaquine,P,"ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS",P01,ANTIPROTOZOALS,P01B,ANTIMALARIALS,P01BA,Aminoquinoline antimalarials,P01BA03,primaquine,305
C0033148,IN,primidone,N03AA03,primidone,N,NERVOUS SYSTEM DRUGS,N03,ANTIEPILEPTICS,N03A,ANTIEPILEPTICS,N03AA,Barbiturates and derivatives,N03AA03,primidone,188
C0033209,IN,probenecid,M04AB01,probenecid,M,MUSCULO-SKELETAL SYSTEM DRUGS,M04,ANTIGOUT PREPARATIONS,M04A,ANTIGOUT PREPARATIONS,M04AB,Preparations increasing uric acid excretion,M04AB01,probenecid,96
C0033215,IN,probucol,C10AX02,probucol,C,CARDIOVASCULAR SYSTEM DRUGS,C10,LIPID MODIFYING AGENTS,C10A,"LIPID MODIFYING AGENTS, PLAIN",C10AX,Other lipid modifying agents in ATC,C10AX02,probucol,17
C0033216,IN,procainamide,C01BA02,procainamide,C,CARDIOVASCULAR SYSTEM DRUGS,C01,CARDIAC THERAPY DRUGS,C01B,"ANTIARRHYTHMICS, CLASS I AND III",C01BA,"Antiarrhythmics, class Ia",C01BA02,procainamide,86
C0033218,IN,procaine,C05AD05,procaine,C,CARDIOVASCULAR SYSTEM DRUGS,C05,VASOPROTECTIVES,C05A,AGENTS FOR TREATMENT OF HEMORRHOIDS AND ANAL FISSURES FOR TOPICAL USE,C05AD,Local anesthetics for treatment of hemorrhoids and anal fissures for topical use,C05AD05,procaine,138
C0033218,IN,procaine,N01BA02,procaine,N,NERVOUS SYSTEM DRUGS,N01,ANESTHETICS,N01B,LOCAL ANESTHETICS,N01BA,Esters of aminobenzoic acid for local anesthesia,N01BA02,procaine,138
C0033218,IN,procaine,S01HA05,procaine,S,SENSORY ORGAN DRUGS,S01,OPHTHALMOLOGICALS,S01H,"Local anesthetics, ophthalmologic",S01HA,Local anesthetics,S01HA05,procaine,138
C0033223,IN,procarbazine,L01XB01,procarbazine,L,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,L01,ANTINEOPLASTIC AGENTS,L01X,OTHER ANTINEOPLASTIC AGENTS in ATC,L01XB,"Methylhydrazines, antineoplastics",L01XB01,procarbazine,568
C0033228,IN,fenofibrate,C10AB05,fenofibrate,C,CARDIOVASCULAR SYSTEM DRUGS,C10,LIPID MODIFYING AGENTS,C10A,"LIPID MODIFYING AGENTS, PLAIN",C10AB,"Fibrates, lipid modifying drugs, plain",C10AB05,fenofibrate,40
C0033229,IN,prochlorperazine,N05AB04,prochlorperazine,N,NERVOUS SYSTEM DRUGS,N05,PSYCHOLEPTICS,N05A,ANTIPSYCHOTICS,N05AB,"Phenothiazines with piperazine structure, antipsychotics",N05AB04,prochlorperazine,60
C0033254,IN,procyclidine,N04AA04,procyclidine,N,NERVOUS SYSTEM DRUGS,N04,ANTI-PARKINSON DRUGS,N04A,ANTICHOLINERGIC AGENTS,N04AA,"Tertiary amines, anticholinergic",N04AA04,procyclidine,5
C0033308,IN,progesterone,G03DA04,progesterone,G,GENITO URINARY SYSTEM AND SEX HORMONES,G03,SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM,G03D,PROGESTOGEN SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM,G03DA,"Pregnen (4) derivatives, progestogens",G03DA04,progesterone,4125
C0033399,IN,promazine,N05AA03,promazine,N,NERVOUS SYSTEM DRUGS,N05,PSYCHOLEPTICS,N05A,ANTIPSYCHOTICS,N05AA,"Phenothiazines with aliphatic side-chain, antipsychotics",N05AA03,promazine,23
C0033401,IN,promegestone,G03DB07,promegestone,G,GENITO URINARY SYSTEM AND SEX HORMONES,G03,SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM,G03D,PROGESTOGEN SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM,G03DB,"Pregnadien derivatives, progestogens",G03DB07,promegestone,2
C0033405,IN,promethazine,D04AA10,promethazine,D,DERMATOLOGICALS,D04,"ANTIPRURITICS, INCL. ANTIHISTAMINES, ANESTHETICS, ETC.",D04A,"ANTIPRURITICS, INCL. ANTIHISTAMINES, ANESTHETICS, ETC.",D04AA,Antihistamines for topical use,D04AA10,promethazine,182
C0033405,IN,promethazine,R06AD02,promethazine,R,RESPIRATORY SYSTEM DRUGS,R06,ANTIHISTAMINES FOR SYSTEMIC USE,R06A,ANTIHISTAMINES FOR SYSTEMIC USE,R06AD,"Phenothiazine derivatives, systemic antihistamines",R06AD02,promethazine,182
C0033429,IN,propafenone,C01BC03,propafenone,C,CARDIOVASCULAR SYSTEM DRUGS,C01,CARDIAC THERAPY DRUGS,C01B,"ANTIARRHYTHMICS, CLASS I AND III",C01BC,"Antiarrhythmics, class Ic",C01BC03,propafenone,95
C0033439,IN,propanidid,N01AX04,propanidid,N,NERVOUS SYSTEM DRUGS,N01,ANESTHETICS,N01A,"ANESTHETICS, GENERAL",N01AX,Other general anesthetics in ATC,N01AX04,propanidid,25
C0033447,IN,propantheline,A03AB05,propantheline,A,ALIMENTARY TRACT AND METABOLISM DRUGS,A03,DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,A03A,DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,A03AB,"Synthetic anticholinergics, quaternary ammonium compounds for functional gastrointestinal disorders",A03AB05,propantheline,20
C0033459,IN,periciazine,N05AC01,periciazine,N,NERVOUS SYSTEM DRUGS,N05,PSYCHOLEPTICS,N05A,ANTIPSYCHOTICS,N05AC,"Phenothiazines with piperidine structure, antipsychotics",N05AC01,periciazine,7
C0033473,IN,propiomazine,N05CM06,propiomazine,N,NERVOUS SYSTEM DRUGS,N05,PSYCHOLEPTICS,N05C,HYPNOTICS AND SEDATIVES,N05CM,Other hypnotics and sedatives in ATC,N05CM06,propiomazine,2
C0033487,IN,propofol,N01AX10,propofol,N,NERVOUS SYSTEM DRUGS,N01,ANESTHETICS,N01A,"ANESTHETICS, GENERAL",N01AX,Other general anesthetics in ATC,N01AX10,propofol,2199
C0033493,IN,propoxyphene,N02AC04,dextropropoxyphene,N,NERVOUS SYSTEM DRUGS,N02,ANALGESICS,N02A,OPIOID ANALGESICS,N02AC,Diphenylpropylamine derivative analgesics,N02AC04,dextropropoxyphene,64
C0033497,IN,propranolol,C07AA05,propranolol,C,CARDIOVASCULAR SYSTEM DRUGS,C07,beta-Adrenergic Blocking Agents,C07A,BETA BLOCKING AGENTS,C07AA,"Beta blocking agents, non-selective",C07AA05,propranolol,1707
C0033509,IN,propyliodone,V08AD03,propyliodone,V,VARIOUS DRUG CLASSES IN ATC,V08,CONTRAST MEDIA,V08A,"X-RAY CONTRAST MEDIA, IODINATED",V08AD,Non-watersoluble X-ray contrast media,V08AD03,propyliodone,3
C0033511,IN,propylthiouracil,H03BA02,propylthiouracil,H,"SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS",H03,THYROID THERAPY DRUGS,H03B,ANTITHYROID PREPARATIONS,H03BA,Thiouracil antithyroid preparations,H03BA02,propylthiouracil,385
C0033567,IN,epoprostenol,B01AC09,epoprostenol,B,BLOOD AND BLOOD FORMING ORGAN DRUGS,B01,ANTITHROMBOTIC AGENTS,B01A,ANTITHROMBOTIC AGENTS,B01AC,Platelet aggregation inhibitors excl. heparin,B01AC09,epoprostenol,653
C0033603,IN,protamines,V03AB14,protamine,V,VARIOUS DRUG CLASSES IN ATC,V03,ALL OTHER THERAPEUTIC PRODUCTS,V03A,ALL OTHER THERAPEUTIC PRODUCTS,V03AB,Antidotes,V03AB14,protamine,210
C0033631,,,B05BA04,protein hydrolysates,B,BLOOD AND BLOOD FORMING ORGAN DRUGS,B05,BLOOD SUBSTITUTES AND PERFUSION SOLUTIONS,B05B,"IV solutions used in parenteral administration of fluids, electrolytes and nutrients",B05BA,Solutions for parenteral nutrition,B05BA04,protein hydrolysates,244
C0033705,IN,prothionamide,J04AD01,protionamide,J,ANTIINFECTIVES FOR SYSTEMIC USE,J04,ANTIMYCOBACTERIALS,J04A,DRUGS FOR TREATMENT OF TUBERCULOSIS,J04AD,Thiocarbamide derivatives for treatment of tuberculosis,J04AD01,protionamide,11
C0033743,IN,protriptyline,N06AA11,protriptyline,N,NERVOUS SYSTEM DRUGS,N06,PSYCHOANALEPTICS,N06A,ANTIDEPRESSANTS,N06AA,Non-selective monoamine reuptake inhibitors,N06AA11,protriptyline,6
C0033798,IN,pseudoephedrine,R01BA02,pseudoephedrine,R,RESPIRATORY SYSTEM DRUGS,R01,NASAL PREPARATIONS,R01B,NASAL DECONGESTANTS FOR SYSTEMIC USE,R01BA,Sympathomimetics,R01BA02,pseudoephedrine,120
C0034235,IN,pyrantel,P02CC01,pyrantel,P,"ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS",P02,ANTHELMINTICS,P02C,ANTINEMATODAL AGENTS,P02CC,"Tetrahydropyrimidine derivatives, antinematodal",P02CC01,pyrantel,104
C0034239,IN,pyrazinamide,J04AK01,pyrazinamide,J,ANTIINFECTIVES FOR SYSTEMIC USE,J04,ANTIMYCOBACTERIALS,J04A,DRUGS FOR TREATMENT OF TUBERCULOSIS,J04AK,Other drugs for treatment of tuberculosis in ATC,J04AK01,pyrazinamide,440
C0034261,IN,pyridostigmine,N07AA02,pyridostigmine,N,NERVOUS SYSTEM DRUGS,N07,OTHER NERVOUS SYSTEM DRUGS in ATC,N07A,PARASYMPATHOMIMETICS,N07AA,Anticholinesterase parasympathomimetics,N07AA02,pyridostigmine,228
C0034266,PIN,pyridoxal phosphate,A11HA06,pyridoxal phosphate,A,ALIMENTARY TRACT AND METABOLISM DRUGS,A11,VITAMINS,A11H,OTHER PLAIN VITAMIN PREPARATIONS in ATC,A11HA,Other plain vitamin preparations in ATC,A11HA06,pyridoxal phosphate,258
C0034272,IN,pyridoxine,A11HA02,pyridoxine (vit B6),A,ALIMENTARY TRACT AND METABOLISM DRUGS,A11,VITAMINS,A11H,OTHER PLAIN VITAMIN PREPARATIONS in ATC,A11HA,Other plain vitamin preparations in ATC,A11HA02,pyridoxine (vit B6),1176
C0034282,IN,pyrilamine,D04AA02,mepyramine,D,DERMATOLOGICALS,D04,"ANTIPRURITICS, INCL. ANTIHISTAMINES, ANESTHETICS, ETC.",D04A,"ANTIPRURITICS, INCL. ANTIHISTAMINES, ANESTHETICS, ETC.",D04AA,Antihistamines for topical use,D04AA02,mepyramine,6
C0034282,IN,pyrilamine,R06AC01,mepyramine,R,RESPIRATORY SYSTEM DRUGS,R06,ANTIHISTAMINES FOR SYSTEMIC USE,R06A,ANTIHISTAMINES FOR SYSTEMIC USE,R06AC,"Substituted ethylene diamines, systemic antihistamines",R06AC01,mepyramine,6
C0034283,IN,pyrimethamine,P01BD01,pyrimethamine,P,"ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS",P01,ANTIPROTOZOALS,P01B,ANTIMALARIALS,P01BD,"Diaminopyrimidines, antimalarials",P01BD01,pyrimethamine,1063
C0034295,IN,pyrithioxin,N06BX02,pyritinol,N,NERVOUS SYSTEM DRUGS,N06,PSYCHOANALEPTICS,N06B,"PSYCHOSTIMULANTS, AGENTS USED FOR ADHD AND NOOTROPICS",N06BX,Other psychostimulants and nootropics in ATC,N06BX02,pyritinol,4
C0034403,IN,quinacrine,P01AX05,mepacrine,P,"ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS",P01,ANTIPROTOZOALS,P01A,AGENTS AGAINST AMOEBIASIS AND OTHER PROTOZOAL DISEASES,P01AX,Other agents against amoebiasis and other protozoal diseases in ATC,P01AX05,mepacrine,51
C0034414,IN,quinidine,C01BA01,quinidine,C,CARDIOVASCULAR SYSTEM DRUGS,C01,CARDIAC THERAPY DRUGS,C01B,"ANTIARRHYTHMICS, CLASS I AND III",C01BA,"Antiarrhythmics, class Ia",C01BA01,quinidine,135
C0034417,IN,quinine,P01BC01,quinine,P,"ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS",P01,ANTIPROTOZOALS,P01B,ANTIMALARIALS,P01BC,"Methanolquinolines, antimalarial",P01BC01,quinine,647
C0034665,IN,ranitidine,A02BA02,ranitidine,A,ALIMENTARY TRACT AND METABOLISM DRUGS,A02,DRUGS FOR ACID RELATED DISORDERS,A02B,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),A02BA,H2-receptor antagonists,A02BA02,ranitidine,302
C0035158,,,B02BX03,batroxobin,B,BLOOD AND BLOOD FORMING ORGAN DRUGS,B02,ANTIHEMORRHAGICS,B02B,VITAMIN K AND OTHER HEMOSTATICS,B02BX,Other systemic hemostatics in ATC,B02BX03,batroxobin,14
C0035179,IN,reserpine,C02AA02,reserpine,C,CARDIOVASCULAR SYSTEM DRUGS,C02,ANTIHYPERTENSIVES,C02A,"ANTIADRENERGIC AGENTS, CENTRALLY ACTING",C02AA,Rauwolfia alkaloids,C02AA02,reserpine,30
C0035525,IN,ribavirin,J05AP01,ribavirin,J,ANTIINFECTIVES FOR SYSTEMIC USE,J05,ANTIVIRALS FOR SYSTEMIC USE,J05A,DIRECT ACTING ANTIVIRALS,J05AP,Antivirals for treatment of HCV infections,J05AP01,ribavirin,660
C0035527,IN,riboflavin,A11HA04,riboflavin (vit B2),A,ALIMENTARY TRACT AND METABOLISM DRUGS,A11,VITAMINS,A11H,OTHER PLAIN VITAMIN PREPARATIONS in ATC,A11HA,Other plain vitamin preparations in ATC,A11HA04,riboflavin (vit B2),1019
C0035527,IN,riboflavin,S01XA26,riboflavin,S,SENSORY ORGAN DRUGS,S01,OPHTHALMOLOGICALS,S01X,OTHER OPHTHALMOLOGICALS IN ATC,S01XA,Other ophthalmologicals in ATC,S01XA26,riboflavin,1019
C0035554,,,J01GB10,ribostamycin,J,ANTIINFECTIVES FOR SYSTEMIC USE,J01,ANTIBACTERIALS FOR SYSTEMIC USE,J01G,AMINOGLYCOSIDE ANTIBACTERIALS,J01GB,Other aminoglycosides in ATC,J01GB10,ribostamycin,4
C0035608,IN,rifampin,J04AB02,rifampicin,J,ANTIINFECTIVES FOR SYSTEMIC USE,J04,ANTIMYCOBACTERIALS,J04A,DRUGS FOR TREATMENT OF TUBERCULOSIS,J04AB,"Antibiotics, Antitubercular",J04AB02,rifampicin,1980
C0035629,IN,rimantadine,J05AC02,rimantadine,J,ANTIINFECTIVES FOR SYSTEMIC USE,J05,ANTIVIRALS FOR SYSTEMIC USE,J05A,DIRECT ACTING ANTIVIRALS,J05AC,"Cyclic amines, direct acting antivirals",J05AC02,rimantadine,37
C0035633,IN,rimiterol,R03AC05,rimiterol,R,RESPIRATORY SYSTEM DRUGS,R03,DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES,R03A,"ADRENERGICS, INHALANTS",R03AC,Selective beta-2-adrenoreceptor agonist inhalants,R03AC05,rimiterol,2
C0035661,IN,ritodrine,G02CA01,ritodrine,G,GENITO URINARY SYSTEM AND SEX HORMONES,G02,OTHER GYNECOLOGICALS in ATC,G02C,OTHER GYNECOLOGICALS in ATC,G02CA,"Sympathomimetics, labour repressants",G02CA01,ritodrine,516
C0035823,IN,rolitetracycline,J01AA09,rolitetracycline,J,ANTIINFECTIVES FOR SYSTEMIC USE,J01,ANTIBACTERIALS FOR SYSTEMIC USE,J01A,Tetracycline antibiotics,J01AA,Tetracyclines,J01AA09,rolitetracycline,3
C0035891,IN,roxithromycin,J01FA06,roxithromycin,J,ANTIINFECTIVES FOR SYSTEMIC USE,J01,ANTIBACTERIALS FOR SYSTEMIC USE,J01F,"MACROLIDES, LINCOSAMIDES AND STREPTOGRAMINS",J01FA,Macrolides,J01FA06,roxithromycin,77
C0035976,IN,rutin,C05CA01,rutoside,C,CARDIOVASCULAR SYSTEM DRUGS,C05,VASOPROTECTIVES,C05C,CAPILLARY STABILIZING AGENTS,C05CA,Bioflavonoid drugs for capillary stabilizing,C05CA01,rutoside,36
C0036002,IN,S-adenosylmethionine,A16AA02,ademetionine,A,ALIMENTARY TRACT AND METABOLISM DRUGS,A16,OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS in ATC,A16A,OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS in ATC,A16AA,Amino acids and derivatives,A16AA02,ademetionine,147
C0036071,IN,salicylamide,N02BA05,salicylamide,N,NERVOUS SYSTEM DRUGS,N02,ANALGESICS,N02B,OTHER ANALGESICS AND ANTIPYRETICS in ATC,N02BA,"Salicylic acid and derivatives, analgesics and antipyretics",N02BA05,salicylamide,6
C0036078,IN,sulfasalazine,A07EC01,sulfasalazine,A,ALIMENTARY TRACT AND METABOLISM DRUGS,A07,"ANTIDIARRHEALS, INTESTINAL ANTIINFLAMMATORY/ANTIINFECTIVE AGENTS",A07E,INTESTINAL ANTIINFLAMMATORY AGENTS,A07EC,Aminosalicylic acid and similar agents,A07EC01,sulfasalazine,270
C0036079,IN,salicylic acid,D01AE12,salicylic acid,D,DERMATOLOGICALS,D01,ANTIFUNGALS FOR DERMATOLOGICAL USE,D01A,ANTIFUNGALS FOR TOPICAL USE,D01AE,Other antifungals for topical use in ATC,D01AE12,salicylic acid,229
C0036079,IN,salicylic acid,S01BC08,salicylic acid,S,SENSORY ORGAN DRUGS,S01,OPHTHALMOLOGICALS,S01B,"ANTIINFLAMMATORY AGENTS, OPHTHALMOLOGIC",S01BC,"Antiinflammatory agents, non-steroidal, ophthalmologic",S01BC08,salicylic acid,229
C0036442,IN,scopolamine,A04AD01,scopolamine,A,ALIMENTARY TRACT AND METABOLISM DRUGS,A04,ANTIEMETICS AND ANTINAUSEANTS,A04A,ANTIEMETICS AND ANTINAUSEANTS,A04AD,Other antiemetics in ATC,A04AD01,scopolamine,173
C0036442,IN,scopolamine,N05CM05,scopolamine,N,NERVOUS SYSTEM DRUGS,N05,PSYCHOLEPTICS,N05C,HYPNOTICS AND SEDATIVES,N05CM,Other hypnotics and sedatives in ATC,N05CM05,scopolamine,173
C0036442,IN,scopolamine,S01FA02,scopolamine,S,SENSORY ORGAN DRUGS,S01,OPHTHALMOLOGICALS,S01F,MYDRIATICS AND CYCLOPLEGICS,S01FA,Anticholinergic mydriatics and cycloplegics,S01FA02,scopolamine,173
C0036516,IN,secobarbital,N05CA06,secobarbital,N,NERVOUS SYSTEM DRUGS,N05,PSYCHOLEPTICS,N05C,HYPNOTICS AND SEDATIVES,N05CA,"Barbiturates, hypnotics and sedatives, plain",N05CA06,secobarbital,21
C0036534,IN,secretin,V04CK01,secretin,V,VARIOUS DRUG CLASSES IN ATC,V04,DIAGNOSTIC AGENTS,V04C,OTHER DIAGNOSTIC AGENTS in ATC,V04CK,pancreatic function test diagnostic agents,V04CK01,secretin,8
C0036579,IN,selegiline,N04BD01,selegiline,N,NERVOUS SYSTEM DRUGS,N04,ANTI-PARKINSON DRUGS,N04B,DOPAMINERGIC AGENTS,N04BD,"MAO B Inhibitors, dopaminergic anti-parkinson drugs",N04BD01,selegiline,21
C0036637,,,L01AD03,semustine,L,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,L01,ANTINEOPLASTIC AGENTS,L01A,ALKYLATING AGENTS,L01AD,"Nitrosoureas, antineoplastic alkylating agents",L01AD03,semustine,11
C0037125,IN,silver,D08AL30,silver,D,DERMATOLOGICALS,D08,ANTISEPTICS AND DISINFECTANTS,D08A,ANTISEPTICS AND DISINFECTANTS,D08AL,"Silver compounds, antiseptics and disinfectants",D08AL30,silver,518
C0037129,IN,silver nitrate,D08AL01,silver nitrate,D,DERMATOLOGICALS,D08,ANTISEPTICS AND DISINFECTANTS,D08A,ANTISEPTICS AND DISINFECTANTS,D08AL,"Silver compounds, antiseptics and disinfectants",D08AL01,silver nitrate,141
C0037134,IN,silver sulfadiazine,D06BA01,silver sulfadiazine,D,DERMATOLOGICALS,D06,ANTIBIOTICS AND CHEMOTHERAPEUTICS FOR DERMATOLOGICAL USE,D06B,CHEMOTHERAPEUTICS FOR TOPICAL USE,D06BA,"Sulfonamides, topical",D06BA01,silver sulfadiazine,156
C0037167,IN,sincalide,V04CC03,sincalide,V,VARIOUS DRUG CLASSES IN ATC,V04,DIAGNOSTIC AGENTS,V04C,OTHER DIAGNOSTIC AGENTS in ATC,V04CC,Diagnostic agents for bile duct patency testing,V04CC03,sincalide,48
C0037209,IN,sisomicin,J01GB08,sisomicin,J,ANTIINFECTIVES FOR SYSTEMIC USE,J01,ANTIBACTERIALS FOR SYSTEMIC USE,J01G,AMINOGLYCOSIDE ANTIBACTERIALS,J01GB,Other aminoglycosides in ATC,J01GB08,sisomicin,32
C0037494,IN,sodium chloride,A12CA01,sodium chloride,A,ALIMENTARY TRACT AND METABOLISM DRUGS,A12,MINERAL SUPPLEMENTS,A12C,OTHER MINERAL SUPPLEMENTS in ATC,A12CA,Sodium supplements,A12CA01,sodium chloride,2039
C0037494,IN,sodium chloride,B05CB01,sodium chloride,B,BLOOD AND BLOOD FORMING ORGAN DRUGS,B05,BLOOD SUBSTITUTES AND PERFUSION SOLUTIONS,B05C,"IRRIGATING SOLUTIONS, BLOOD SUBSTITUTES AND PERFUSION",B05CB,Salt irrigating solutions,B05CB01,sodium chloride,2039
C0037494,IN,sodium chloride,B05XA03,sodium chloride,B,BLOOD AND BLOOD FORMING ORGAN DRUGS,B05,BLOOD SUBSTITUTES AND PERFUSION SOLUTIONS,B05X,I.V. SOLUTION ADDITIVES,B05XA,Electrolyte solutions,B05XA03,sodium chloride,2039
C0037508,IN,sodium fluoride,A01AA01,sodium fluoride,A,ALIMENTARY TRACT AND METABOLISM DRUGS,A01,STOMATOLOGICAL PREPARATIONS,A01A,STOMATOLOGICAL PREPARATIONS,A01AA,Caries prophylactic agents,A01AA01,sodium fluoride,463
C0037508,IN,sodium fluoride,A12CD01,sodium fluoride,A,ALIMENTARY TRACT AND METABOLISM DRUGS,A12,MINERAL SUPPLEMENTS,A12C,OTHER MINERAL SUPPLEMENTS in ATC,A12CD,Fluoride supplements,A12CD01,sodium fluoride,463
C0037512,PIN,gold sodium thiosulfate,M01CB02,sodium aurotiosulfate,M,MUSCULO-SKELETAL SYSTEM DRUGS,M01,ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS,M01C,SPECIFIC ANTIRHEUMATIC AGENTS,M01CB,Gold preparations,M01CB02,sodium aurotiosulfate,9
C0037537,PIN,sodium oxybate,N01AX11,sodium oxybate,N,NERVOUS SYSTEM DRUGS,N01,ANESTHETICS,N01A,"ANESTHETICS, GENERAL",N01AX,Other general anesthetics in ATC,N01AX11,sodium oxybate,83
C0037537,PIN,sodium oxybate,N07XX04,sodium oxybate,N,NERVOUS SYSTEM DRUGS,N07,OTHER NERVOUS SYSTEM DRUGS in ATC,N07X,OTHER NERVOUS SYSTEM DRUGS in ATC,N07XX,Other nervous system drugs in ATC,N07XX04,sodium oxybate,83
C0037556,IN,sodium tetradecyl sulfate,C05BB04,sodium tetradecyl sulfate,C,CARDIOVASCULAR SYSTEM DRUGS,C05,VASOPROTECTIVES,C05B,ANTIVARICOSE THERAPY DRUGS,C05BB,Sclerosing agents for local injection,C05BB04,sodium tetradecyl sulfate,69
C0037659,IN,somatostatin,H01CB01,somatostatin,H,"SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS",H01,PITUITARY AND HYPOTHALAMIC HORMONES AND ANALOGUES,H01C,HYPOTHALAMIC HORMONES,H01CB,Somatostatin and analogues,H01CB01,somatostatin,677
C0037688,IN,sorbitol,A06AD18,sorbitol,A,ALIMENTARY TRACT AND METABOLISM DRUGS,A06,DRUGS FOR CONSTIPATION,A06A,DRUGS FOR CONSTIPATION,A06AD,Osmotically acting laxatives,A06AD18,sorbitol,229
C0037688,IN,sorbitol,A06AG07,sorbitol,A,ALIMENTARY TRACT AND METABOLISM DRUGS,A06,DRUGS FOR CONSTIPATION,A06A,DRUGS FOR CONSTIPATION,A06AG,Enema for Constipation,A06AG07,sorbitol,229
C0037688,IN,sorbitol,B05CX02,sorbitol,B,BLOOD AND BLOOD FORMING ORGAN DRUGS,B05,BLOOD SUBSTITUTES AND PERFUSION SOLUTIONS,B05C,"IRRIGATING SOLUTIONS, BLOOD SUBSTITUTES AND PERFUSION",B05CX,Other irrigating solutions in ATC,B05CX02,sorbitol,229
C0037688,IN,sorbitol,V04CC01,sorbitol,V,VARIOUS DRUG CLASSES IN ATC,V04,DIAGNOSTIC AGENTS,V04C,OTHER DIAGNOSTIC AGENTS in ATC,V04CC,Diagnostic agents for bile duct patency testing,V04CC01,sorbitol,229
C0037707,IN,sotalol,C07AA07,sotalol,C,CARDIOVASCULAR SYSTEM DRUGS,C07,beta-Adrenergic Blocking Agents,C07A,BETA BLOCKING AGENTS,C07AA,"Beta blocking agents, non-selective",C07AA07,sotalol,127
C0037760,,,C01BA04,sparteine,C,CARDIOVASCULAR SYSTEM DRUGS,C01,CARDIAC THERAPY DRUGS,C01B,"ANTIARRHYTHMICS, CLASS I AND III",C01BA,"Antiarrhythmics, class Ia",C01BA04,sparteine,2
C0037962,IN,spiramycin,J01FA02,spiramycin,J,ANTIINFECTIVES FOR SYSTEMIC USE,J01,ANTIBACTERIALS FOR SYSTEMIC USE,J01F,"MACROLIDES, LINCOSAMIDES AND STREPTOGRAMINS",J01FA,Macrolides,J01FA02,spiramycin,132
C0037982,IN,spironolactone,C03DA01,spironolactone,C,CARDIOVASCULAR SYSTEM DRUGS,C03,DIURETICS,C03D,ALDOSTERONE ANTAGONISTS AND OTHER POTASSIUM-SPARING AGENTS,C03DA,Aldosterone antagonists,C03DA01,spironolactone,287
C0038143,IN,stannous fluoride,A01AA04,stannous fluoride,A,ALIMENTARY TRACT AND METABOLISM DRUGS,A01,STOMATOLOGICAL PREPARATIONS,A01A,STOMATOLOGICAL PREPARATIONS,A01AA,Caries prophylactic agents,A01AA04,stannous fluoride,29
C0038148,,,A14AA01,androstanolone,A,ALIMENTARY TRACT AND METABOLISM DRUGS,A14,ANABOLIC AGENTS FOR SYSTEMIC USE,A14A,ANABOLIC STEROIDS,A14AA,Androstan derivatives,A14AA01,androstanolone,400
C0038148,,,G03BB02,androstanolone,G,GENITO URINARY SYSTEM AND SEX HORMONES,G03,SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM,G03B,ANDROGENS,G03BB,5-androstanon (3) derivatives,G03BB02,androstanolone,400
C0038149,IN,stanozolol,A14AA02,stanozolol,A,ALIMENTARY TRACT AND METABOLISM DRUGS,A14,ANABOLIC AGENTS FOR SYSTEMIC USE,A14A,ANABOLIC STEROIDS,A14AA,Androstan derivatives,A14AA02,stanozolol,42
C0038418,IN,streptokinase,B01AD01,streptokinase,B,BLOOD AND BLOOD FORMING ORGAN DRUGS,B01,ANTITHROMBOTIC AGENTS,B01A,ANTITHROMBOTIC AGENTS,B01AD,"Enzymes, antithrombotic",B01AD01,streptokinase,236
