L1,L2,L3,L4,atc_code,CUI
A  ALIMENTARY TRACT AND METABOLISM,A02  DRUGS FOR ACID RELATED DISORDERS,A02B  DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),A02BD  Combinations for eradication of Helicobacter pylori,A02BD11,C0055856
J  ANTIINFECTIVES FOR SYSTEMIC USE,J01  ANTIBACTERIALS FOR SYSTEMIC USE,J01D  OTHER BETA-LACTAM ANTIBACTERIALS,J01DD  Third-generation cephalosporins,J01DD04,C0007561
J  ANTIINFECTIVES FOR SYSTEMIC USE,J01  ANTIBACTERIALS FOR SYSTEMIC USE,J01D  OTHER BETA-LACTAM ANTIBACTERIALS,J01DD  Third-generation cephalosporins,J01DD54,C0007561
V  VARIOUS,V03  ALL OTHER THERAPEUTIC PRODUCTS,V03A  ALL OTHER THERAPEUTIC PRODUCTS,V03AB  Antidotes,V03AB34,C0048504
S  SENSORY ORGANS,S01  OPHTHALMOLOGICALS,S01E  ANTIGLAUCOMA PREPARATIONS AND MIOTICS,S01ED  Beta blocking agents,S01ED54,C0041030
C  CARDIOVASCULAR SYSTEM,C07  BETA BLOCKING AGENTS,C07B  BETA BLOCKING AGENTS AND THIAZIDES,"C07BA  Beta blocking agents, non-selective, and thiazides",C07BA68,C0041030
S  SENSORY ORGANS,S01  OPHTHALMOLOGICALS,S01E  ANTIGLAUCOMA PREPARATIONS AND MIOTICS,S01ED  Beta blocking agents,S01ED04,C0041030
N  NERVOUS SYSTEM,N05  PSYCHOLEPTICS,N05C  HYPNOTICS AND SEDATIVES,N05CD  Benzodiazepine derivatives,N05CD04,C0014892
D  DERMATOLOGICALS,D11  OTHER DERMATOLOGICAL PREPARATIONS,D11A  OTHER DERMATOLOGICAL PREPARATIONS,D11AX  Other dermatologicals,D11AX10,C0060389
G  GENITO URINARY SYSTEM AND SEX HORMONES,G04  UROLOGICALS,G04C  DRUGS USED IN BENIGN PROSTATIC HYPERTROPHY,G04CA  Alpha-adrenoreceptor antagonists,G04CA55,C0060389
G  GENITO URINARY SYSTEM AND SEX HORMONES,G04  UROLOGICALS,G04C  DRUGS USED IN BENIGN PROSTATIC HYPERTROPHY,G04CA  Alpha-adrenoreceptor antagonists,G04CA51,C0060389
G  GENITO URINARY SYSTEM AND SEX HORMONES,G04  UROLOGICALS,G04C  DRUGS USED IN BENIGN PROSTATIC HYPERTROPHY,G04CB  Testosterone-5-alpha reductase inhibitors,G04CB51,C0060389
G  GENITO URINARY SYSTEM AND SEX HORMONES,G04  UROLOGICALS,G04C  DRUGS USED IN BENIGN PROSTATIC HYPERTROPHY,G04CB  Testosterone-5-alpha reductase inhibitors,G04CB01,C0060389
L  ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,L02  ENDOCRINE THERAPY,L02B  HORMONE ANTAGONISTS AND RELATED AGENTS,L02BG  Aromatase inhibitors,L02BG03,C0290883
"P  ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS",P01  ANTIPROTOZOALS,P01B  ANTIMALARIALS,P01BX  Other antimalarials,P01BX01,C0120726
M  MUSCULO-SKELETAL SYSTEM,M03  MUSCLE RELAXANTS,"M03C  MUSCLE RELAXANTS, DIRECTLY ACTING AGENTS",M03CA  Dantrolene and derivatives,M03CA01,C0010976
A  ALIMENTARY TRACT AND METABOLISM,"A07  ANTIDIARRHEALS, INTESTINAL ANTIINFLAMMATORY/ANTIINFECTIVE AGENTS",A07A  INTESTINAL ANTIINFECTIVES,A07AA  Antibiotics,A07AA11,C0073374
D  DERMATOLOGICALS,D06  ANTIBIOTICS AND CHEMOTHERAPEUTICS FOR DERMATOLOGICAL USE,D06A  ANTIBIOTICS FOR TOPICAL USE,D06AX  Other antibiotics for topical use,D06AX11,C0073374
N  NERVOUS SYSTEM,N01  ANESTHETICS,"N01A  ANESTHETICS, GENERAL",N01AX  Other general anesthetics,N01AX03,C0022614
R  RESPIRATORY SYSTEM,R03  DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES,"R03A  ADRENERGICS, INHALANTS",R03AL  Adrenergics in combination with anticholinergics incl. triple combinations with corticosteroids,R03AL11,C0054201
D  DERMATOLOGICALS,"D07  CORTICOSTEROIDS, DERMATOLOGICAL PREPARATIONS","D07A  CORTICOSTEROIDS, PLAIN","D07AC  Corticosteroids, potent (group III)",D07AC09,C0054201
R  RESPIRATORY SYSTEM,R01  NASAL PREPARATIONS,R01A  DECONGESTANTS AND OTHER NASAL PREPARATIONS FOR TOPICAL USE,R01AD  Corticosteroids,R01AD05,C0054201
R  RESPIRATORY SYSTEM,R03  DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES,"R03A  ADRENERGICS, INHALANTS","R03AK  Adrenergics in combination with corticosteroids or other drugs, excl. anticholinergics",R03AK07,C0054201
A  ALIMENTARY TRACT AND METABOLISM,"A07  ANTIDIARRHEALS, INTESTINAL ANTIINFLAMMATORY/ANTIINFECTIVE AGENTS",A07E  INTESTINAL ANTIINFLAMMATORY AGENTS,A07EA  Corticosteroids acting locally,A07EA06,C0054201
R  RESPIRATORY SYSTEM,R03  DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES,"R03B  OTHER DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES, INHALANTS",R03BA  Glucocorticoids,R03BA02,C0054201
R  RESPIRATORY SYSTEM,R03  DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES,"R03A  ADRENERGICS, INHALANTS","R03AK  Adrenergics in combination with corticosteroids or other drugs, excl. anticholinergics",R03AK12,C0054201
R  RESPIRATORY SYSTEM,R03  DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES,R03D  OTHER SYSTEMIC DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES,R03DA  Xanthines,R03DA55,C0002575
R  RESPIRATORY SYSTEM,R03  DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES,R03D  OTHER SYSTEMIC DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES,R03DA  Xanthines,R03DA05,C0002575
R  RESPIRATORY SYSTEM,R03  DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES,R03D  OTHER SYSTEMIC DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES,R03DA  Xanthines,R03DA20,C0002575
R  RESPIRATORY SYSTEM,R03  DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES,R03D  OTHER SYSTEMIC DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES,R03DB  Xanthines and adrenergics,R03DB05,C0002575
N  NERVOUS SYSTEM,N05  PSYCHOLEPTICS,N05A  ANTIPSYCHOTICS,"N05AH  Diazepines, oxazepines, thiazepines and oxepines",N05AH04,C0123091
B  BLOOD AND BLOOD FORMING ORGANS,B01  ANTITHROMBOTIC AGENTS,B01A  ANTITHROMBOTIC AGENTS,B01AB  Heparin group,B01AB05,C0206460
M  MUSCULO-SKELETAL SYSTEM,M03  MUSCLE RELAXANTS,"M03A  MUSCLE RELAXANTS, PERIPHERALLY ACTING AGENTS",M03AC  Other quaternary ammonium compounds,M03AC10,C0066621
N  NERVOUS SYSTEM,N07  OTHER NERVOUS SYSTEM DRUGS,N07B  DRUGS USED IN ADDICTIVE DISORDERS,N07BC  Drugs used in opioid dependence,N07BC03,C0772342
C  CARDIOVASCULAR SYSTEM,C01  CARDIAC THERAPY,"C01B  ANTIARRHYTHMICS, CLASS I AND III","C01BC  Antiarrhythmics, class Ic",C01BC08,C0085251
L  ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,L01  ANTINEOPLASTIC AGENTS,L01C  PLANT ALKALOIDS AND OTHER NATURAL PRODUCTS,L01CD  Taxanes,L01CD01,C0144576
L  ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,L01  ANTINEOPLASTIC AGENTS,L01C  PLANT ALKALOIDS AND OTHER NATURAL PRODUCTS,L01CD  Taxanes,L01CD51,C0144576
N  NERVOUS SYSTEM,N06  PSYCHOANALEPTICS,"N06B  PSYCHOSTIMULANTS, AGENTS USED FOR ADHD AND NOOTROPICS",N06BA  Centrally acting sympathomimetics,N06BA05,C0030800
J  ANTIINFECTIVES FOR SYSTEMIC USE,J05  ANTIVIRALS FOR SYSTEMIC USE,J05A  DIRECT ACTING ANTIVIRALS,J05AE  Protease inhibitors,J05AE01,C0286738
A  ALIMENTARY TRACT AND METABOLISM,A03  DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,A03F  PROPULSIVES,A03FA  Propulsives,A03FA01,C0025853
R  RESPIRATORY SYSTEM,R01  NASAL PREPARATIONS,R01A  DECONGESTANTS AND OTHER NASAL PREPARATIONS FOR TOPICAL USE,R01AD  Corticosteroids,R01AD53,C0011777
D  DERMATOLOGICALS,"D07  CORTICOSTEROIDS, DERMATOLOGICAL PREPARATIONS","D07X  CORTICOSTEROIDS, OTHER COMBINATIONS","D07XB  Corticosteroids, moderately potent, other combinations",D07XB05,C0011777
R  RESPIRATORY SYSTEM,R01  NASAL PREPARATIONS,R01A  DECONGESTANTS AND OTHER NASAL PREPARATIONS FOR TOPICAL USE,R01AD  Corticosteroids,R01AD03,C0011777
D  DERMATOLOGICALS,D10  ANTI-ACNE PREPARATIONS,D10A  ANTI-ACNE PREPARATIONS FOR TOPICAL USE,"D10AA  Corticosteroids, combinations for treatment of acne",D10AA03,C0011777
S  SENSORY ORGANS,S01  OPHTHALMOLOGICALS,S01C  ANTIINFLAMMATORY AGENTS AND ANTIINFECTIVES IN COMBINATION,S01CB  Corticosteroids/antiinfectives/mydriatics in combination,S01CB01,C0011777
S  SENSORY ORGANS,S02  OTOLOGICALS,S02C  CORTICOSTEROIDS AND ANTIINFECTIVES IN COMBINATION,S02CA  Corticosteroids and antiinfectives in combination,S02CA06,C0011777
S  SENSORY ORGANS,S03  OPHTHALMOLOGICAL AND OTOLOGICAL PREPARATIONS,S03C  CORTICOSTEROIDS AND ANTIINFECTIVES IN COMBINATION,S03CA  Corticosteroids and antiinfectives in combination,S03CA01,C0011777
C  CARDIOVASCULAR SYSTEM,C05  VASOPROTECTIVES,C05A  AGENTS FOR TREATMENT OF HEMORRHOIDS AND ANAL FISSURES FOR TOPICAL USE,C05AA  Corticosteroids,C05AA09,C0011777
S  SENSORY ORGANS,S01  OPHTHALMOLOGICALS,S01C  ANTIINFLAMMATORY AGENTS AND ANTIINFECTIVES IN COMBINATION,S01CA  Corticosteroids and antiinfectives in combination,S01CA01,C0011777
D  DERMATOLOGICALS,"D07  CORTICOSTEROIDS, DERMATOLOGICAL PREPARATIONS","D07C  CORTICOSTEROIDS, COMBINATIONS WITH ANTIBIOTICS","D07CB  Corticosteroids, moderately potent, combinations with antibiotics",D07CB04,C0011777
"H  SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS",H02  CORTICOSTEROIDS FOR SYSTEMIC USE,"H02A  CORTICOSTEROIDS FOR SYSTEMIC USE, PLAIN",H02AB  Glucocorticoids,H02AB02,C0011777
S  SENSORY ORGANS,S01  OPHTHALMOLOGICALS,S01B  ANTIINFLAMMATORY AGENTS,"S01BA  Corticosteroids, plain",S01BA01,C0011777
A  ALIMENTARY TRACT AND METABOLISM,A01  STOMATOLOGICAL PREPARATIONS,A01A  STOMATOLOGICAL PREPARATIONS,A01AC  Corticosteroids for local oral treatment,A01AC02,C0011777
S  SENSORY ORGANS,S03  OPHTHALMOLOGICAL AND OTOLOGICAL PREPARATIONS,S03B  CORTICOSTEROIDS,S03BA  Corticosteroids,S03BA01,C0011777
D  DERMATOLOGICALS,"D07  CORTICOSTEROIDS, DERMATOLOGICAL PREPARATIONS","D07A  CORTICOSTEROIDS, PLAIN","D07AB  Corticosteroids, moderately potent (group II)",D07AB19,C0011777
S  SENSORY ORGANS,S02  OTOLOGICALS,S02B  CORTICOSTEROIDS,S02BA  Corticosteroids,S02BA06,C0011777
N  NERVOUS SYSTEM,N04  ANTI-PARKINSON DRUGS,N04B  DOPAMINERGIC AGENTS,N04BA  Dopa and dopa derivatives,N04BA03,C0023570
N  NERVOUS SYSTEM,N04  ANTI-PARKINSON DRUGS,N04B  DOPAMINERGIC AGENTS,N04BA  Dopa and dopa derivatives,N04BA01,C0023570
N  NERVOUS SYSTEM,N04  ANTI-PARKINSON DRUGS,N04B  DOPAMINERGIC AGENTS,N04BA  Dopa and dopa derivatives,N04BA02,C0023570
N  NERVOUS SYSTEM,N01  ANESTHETICS,"N01A  ANESTHETICS, GENERAL",N01AB  Halogenated hydrocarbons,N01AB08,C0074414
R  RESPIRATORY SYSTEM,R06  ANTIHISTAMINES FOR SYSTEMIC USE,R06A  ANTIHISTAMINES FOR SYSTEMIC USE,R06AA  Aminoalkyl ethers,R06AA01,C0054120
N  NERVOUS SYSTEM,N05  PSYCHOLEPTICS,N05A  ANTIPSYCHOTICS,N05AX  Other antipsychotics,N05AX12,C0299792
N  NERVOUS SYSTEM,N05  PSYCHOLEPTICS,N05A  ANTIPSYCHOTICS,N05AF  Thioxanthene derivatives,N05AF03,C0008290
B  BLOOD AND BLOOD FORMING ORGANS,B01  ANTITHROMBOTIC AGENTS,B01A  ANTITHROMBOTIC AGENTS,B01AC  Platelet aggregation inhibitors excl. heparin,B01AC09,C0033567
C  CARDIOVASCULAR SYSTEM,C10  LIPID MODIFYING AGENTS,"C10A  LIPID MODIFYING AGENTS, PLAIN",C10AB  Fibrates,C10AB04,C0017245
N  NERVOUS SYSTEM,N06  PSYCHOANALEPTICS,N06A  ANTIDEPRESSANTS,N06AA  Non-selective monoamine reuptake inhibitors,N06AA04,C0009010
C  CARDIOVASCULAR SYSTEM,C08  CALCIUM CHANNEL BLOCKERS,C08E  NON-SELECTIVE CALCIUM CHANNEL BLOCKERS,C08EA  Phenylalkylamine derivatives,C08EA02,C0005116
R  RESPIRATORY SYSTEM,R06  ANTIHISTAMINES FOR SYSTEMIC USE,R06A  ANTIHISTAMINES FOR SYSTEMIC USE,R06AD  Phenothiazine derivatives,R06AD01,C0041031
N  NERVOUS SYSTEM,N06  PSYCHOANALEPTICS,N06A  ANTIDEPRESSANTS,"N06AF  Monoamine oxidase inhibitors, non-selective",N06AF01,C0022154
L  ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,L01  ANTINEOPLASTIC AGENTS,L01C  PLANT ALKALOIDS AND OTHER NATURAL PRODUCTS,L01CD  Taxanes,L01CD02,C0246415
V  VARIOUS,V08  CONTRAST MEDIA,"V08A  X-RAY CONTRAST MEDIA, IODINATED","V08AB  Watersoluble, nephrotropic, low osmolar X-ray contrast media",V08AB09,C0063757
A  ALIMENTARY TRACT AND METABOLISM,"A07  ANTIDIARRHEALS, INTESTINAL ANTIINFLAMMATORY/ANTIINFECTIVE AGENTS",A07E  INTESTINAL ANTIINFLAMMATORY AGENTS,A07EC  Aminosalicylic acid and similar agents,A07EC03,C0069454
A  ALIMENTARY TRACT AND METABOLISM,A10  DRUGS USED IN DIABETES,"A10B  BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS",A10BB  Sulfonylureas,A10BB08,C0061328
G  GENITO URINARY SYSTEM AND SEX HORMONES,G02  OTHER GYNECOLOGICALS,G02A  UTEROTONICS,G02AB  Ergot alkaloids,G02AB03,C0014704
L  ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,L01  ANTINEOPLASTIC AGENTS,L01E  PROTEIN KINASE INHIBITORS,L01EA  BCR-ABL tyrosine kinase inhibitors,L01EA02,C1455147
N  NERVOUS SYSTEM,N06  PSYCHOANALEPTICS,"N06B  PSYCHOSTIMULANTS, AGENTS USED FOR ADHD AND NOOTROPICS",N06BA  Centrally acting sympathomimetics,N06BA12,C1873633
D  DERMATOLOGICALS,D06  ANTIBIOTICS AND CHEMOTHERAPEUTICS FOR DERMATOLOGICAL USE,D06A  ANTIBIOTICS FOR TOPICAL USE,D06AX  Other antibiotics for topical use,D06AX13,C1703334
L  ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,L04  IMMUNOSUPPRESSANTS,L04A  IMMUNOSUPPRESSANTS,L04AA  Selective immunosuppressants,L04AA25,C1541483
L  ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,L01  ANTINEOPLASTIC AGENTS,L01E  PROTEIN KINASE INHIBITORS,L01EH  Human epidermal growth factor receptor 2 (HER2) tyrosine kinase inhibitors,L01EH01,C1506770
S  SENSORY ORGANS,S01  OPHTHALMOLOGICALS,S01B  ANTIINFLAMMATORY AGENTS,"S01BA  Corticosteroids, plain",S01BA11,C0011705
D  DERMATOLOGICALS,"D07  CORTICOSTEROIDS, DERMATOLOGICAL PREPARATIONS","D07B  CORTICOSTEROIDS, COMBINATIONS WITH ANTISEPTICS","D07BB  Corticosteroids, moderately potent, combinations with antiseptics",D07BB02,C0011705
D  DERMATOLOGICALS,"D07  CORTICOSTEROIDS, DERMATOLOGICAL PREPARATIONS","D07A  CORTICOSTEROIDS, PLAIN","D07AB  Corticosteroids, moderately potent (group II)",D07AB08,C0011705
A  ALIMENTARY TRACT AND METABOLISM,A10  DRUGS USED IN DIABETES,"A10B  BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS",A10BH  Dipeptidyl peptidase 4 (DPP-4) inhibitors,A10BH51,C1565750
A  ALIMENTARY TRACT AND METABOLISM,A10  DRUGS USED IN DIABETES,"A10B  BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS",A10BD  Combinations of oral blood glucose lowering drugs,A10BD24,C1565750
A  ALIMENTARY TRACT AND METABOLISM,A10  DRUGS USED IN DIABETES,"A10B  BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS",A10BD  Combinations of oral blood glucose lowering drugs,A10BD07,C1565750
A  ALIMENTARY TRACT AND METABOLISM,A10  DRUGS USED IN DIABETES,"A10B  BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS",A10BH  Dipeptidyl peptidase 4 (DPP-4) inhibitors,A10BH01,C1565750
A  ALIMENTARY TRACT AND METABOLISM,A10  DRUGS USED IN DIABETES,"A10B  BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS",A10BD  Combinations of oral blood glucose lowering drugs,A10BD12,C1565750
L  ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,L01  ANTINEOPLASTIC AGENTS,L01B  ANTIMETABOLITES,L01BC  Pyrimidine analogues,L01BC08,C0049065
J  ANTIINFECTIVES FOR SYSTEMIC USE,J02  ANTIMYCOTICS FOR SYSTEMIC USE,J02A  ANTIMYCOTICS FOR SYSTEMIC USE,J02AC  Triazole and tetrazole derivatives,J02AC04,C0936148
J  ANTIINFECTIVES FOR SYSTEMIC USE,J05  ANTIVIRALS FOR SYSTEMIC USE,J05A  DIRECT ACTING ANTIVIRALS,"J05AR  Antivirals for treatment of HIV infections, combinations",J05AR14,C1435444
G  GENITO URINARY SYSTEM AND SEX HORMONES,G01  GYNECOLOGICAL ANTIINFECTIVES AND ANTISEPTICS,"G01A  ANTIINFECTIVES AND ANTISEPTICS, EXCL. COMBINATIONS WITH CORTICOSTEROIDS",G01AE  Sulfonamides,G01AE10,C1435444
J  ANTIINFECTIVES FOR SYSTEMIC USE,J05  ANTIVIRALS FOR SYSTEMIC USE,J05A  DIRECT ACTING ANTIVIRALS,"J05AR  Antivirals for treatment of HIV infections, combinations",J05AR22,C1435444
J  ANTIINFECTIVES FOR SYSTEMIC USE,J05  ANTIVIRALS FOR SYSTEMIC USE,J05A  DIRECT ACTING ANTIVIRALS,"J05AR  Antivirals for treatment of HIV infections, combinations",J05AR26,C1435444
J  ANTIINFECTIVES FOR SYSTEMIC USE,J05  ANTIVIRALS FOR SYSTEMIC USE,J05A  DIRECT ACTING ANTIVIRALS,J05AE  Protease inhibitors,J05AE10,C1435444
J  ANTIINFECTIVES FOR SYSTEMIC USE,J05  ANTIVIRALS FOR SYSTEMIC USE,J05A  DIRECT ACTING ANTIVIRALS,J05AF  Nucleoside and nucleotide reverse transcriptase inhibitors,J05AF11,C1453933
D  DERMATOLOGICALS,D06  ANTIBIOTICS AND CHEMOTHERAPEUTICS FOR DERMATOLOGICAL USE,D06B  CHEMOTHERAPEUTICS FOR TOPICAL USE,D06BB  Antivirals,D06BB12,C1960121
N  NERVOUS SYSTEM,N05  PSYCHOLEPTICS,N05A  ANTIPSYCHOTICS,N05AX  Other antipsychotics,N05AX13,C0753678
L  ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,L01  ANTINEOPLASTIC AGENTS,L01E  PROTEIN KINASE INHIBITORS,L01EX  Other protein kinase inhibitors,L01EX01,C1176020
L  ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,L01  ANTINEOPLASTIC AGENTS,L01F  MONOCLONAL ANTIBODIES AND ANTIBODY DRUG CONJUGATES,L01FE  EGFR (Epidermal Growth Factor Receptor) inhibitors,L01FE02,C0879427
S  SENSORY ORGANS,S01  OPHTHALMOLOGICALS,S01L  OCULAR VASCULAR DISORDER AGENTS,S01LA  Antineovascularisation agents,S01LA04,C1566537
A  ALIMENTARY TRACT AND METABOLISM,A16  OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS,A16A  OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS,A16AB  Enzymes,A16AB09,C1739462
A  ALIMENTARY TRACT AND METABOLISM,A16  OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS,A16A  OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS,A16AB  Enzymes,A16AB07,C0002272
A  ALIMENTARY TRACT AND METABOLISM,A16  OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS,A16A  OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS,A16AB  Enzymes,A16AB07,C1695579
S  SENSORY ORGANS,S01  OPHTHALMOLOGICALS,S01X  OTHER OPHTHALMOLOGICALS,S01XA  Other ophthalmologicals,S01XA28,C1569608
N  NERVOUS SYSTEM,N07  OTHER NERVOUS SYSTEM DRUGS,N07B  DRUGS USED IN ADDICTIVE DISORDERS,N07BA  Drugs used in nicotine dependence,N07BA03,C1569608
C  CARDIOVASCULAR SYSTEM,C02  ANTIHYPERTENSIVES,"C02D  ARTERIOLAR SMOOTH MUSCLE, AGENTS ACTING ON",C02DB  Hydrazinophthalazine derivatives,C02DB02,C0020223
C  CARDIOVASCULAR SYSTEM,C02  ANTIHYPERTENSIVES,C02L  ANTIHYPERTENSIVES AND DIURETICS IN COMBINATION,C02LG  Hydrazinophthalazine derivatives and diuretics,C02LG02,C0020223
A  ALIMENTARY TRACT AND METABOLISM,A10  DRUGS USED IN DIABETES,"A10B  BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS",A10BJ  Glucagon-like peptide-1 (GLP-1) analogues,A10BJ01,C0167117
"H  SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS",H01  PITUITARY AND HYPOTHALAMIC HORMONES AND ANALOGUES,H01A  ANTERIOR PITUITARY LOBE HORMONES AND ANALOGUES,H01AC  Somatropin and somatropin agonists,H01AC03,C0904505
A  ALIMENTARY TRACT AND METABOLISM,A10  DRUGS USED IN DIABETES,"A10B  BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS","A10BX  Other blood glucose lowering drugs, excl. insulins",A10BX05,C0537551
A  ALIMENTARY TRACT AND METABOLISM,A16  OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS,A16A  OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS,A16AB  Enzymes,A16AB08,C1615657
L  ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,L01  ANTINEOPLASTIC AGENTS,L01B  ANTIMETABOLITES,L01BB  Purine analogues,L01BB07,C0907349
L  ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,L04  IMMUNOSUPPRESSANTS,L04A  IMMUNOSUPPRESSANTS,L04AA  Selective immunosuppressants,L04AA24,C1619966
"H  SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS",H01  PITUITARY AND HYPOTHALAMIC HORMONES AND ANALOGUES,H01A  ANTERIOR PITUITARY LOBE HORMONES AND ANALOGUES,H01AA  ACTH,H01AA02,C0010192
"H  SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS",H01  PITUITARY AND HYPOTHALAMIC HORMONES AND ANALOGUES,H01A  ANTERIOR PITUITARY LOBE HORMONES AND ANALOGUES,H01AA  ACTH,H01AA01,C0001655
R  RESPIRATORY SYSTEM,R03  DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES,R03C  ADRENERGICS FOR SYSTEMIC USE,R03CC  Selective beta-2-adrenoreceptor agonists,R03CC04,C0015840
R  RESPIRATORY SYSTEM,R03  DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES,"R03A  ADRENERGICS, INHALANTS",R03AL  Adrenergics in combination with anticholinergics incl. triple combinations with corticosteroids,R03AL01,C0015840
G  GENITO URINARY SYSTEM AND SEX HORMONES,G02  OTHER GYNECOLOGICALS,G02C  OTHER GYNECOLOGICALS,"G02CA  Sympathomimetics, labour repressants",G02CA03,C0015840
R  RESPIRATORY SYSTEM,R03  DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES,"R03A  ADRENERGICS, INHALANTS",R03AC  Selective beta-2-adrenoreceptor agonists,R03AC04,C0015840
R  RESPIRATORY SYSTEM,R03  DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES,R03C  ADRENERGICS FOR SYSTEMIC USE,R03CC  Selective beta-2-adrenoreceptor agonists,R03CC07,C0071129
R  RESPIRATORY SYSTEM,R03  DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES,"R03A  ADRENERGICS, INHALANTS",R03AC  Selective beta-2-adrenoreceptor agonists,R03AC08,C0071129
M  MUSCULO-SKELETAL SYSTEM,M01  ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS,"M01A  ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS, NON-STEROIDS","M01AX  Other antiinflammatory and antirheumatic agents, non-steroids",M01AX05,C0017718
C  CARDIOVASCULAR SYSTEM,C07  BETA BLOCKING AGENTS,C07A  BETA BLOCKING AGENTS,"C07AB  Beta blocking agents, selective",C07AB01,C0032896
G  GENITO URINARY SYSTEM AND SEX HORMONES,G01  GYNECOLOGICAL ANTIINFECTIVES AND ANTISEPTICS,"G01A  ANTIINFECTIVES AND ANTISEPTICS, EXCL. COMBINATIONS WITH CORTICOSTEROIDS",G01AE  Sulfonamides,G01AE10,C0262960
"P  ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS",P01  ANTIPROTOZOALS,P01B  ANTIMALARIALS,"P01BF  Artemisinin and derivatives, combinations",P01BF09,C0038679
G  GENITO URINARY SYSTEM AND SEX HORMONES,G01  GYNECOLOGICAL ANTIINFECTIVES AND ANTISEPTICS,"G01A  ANTIINFECTIVES AND ANTISEPTICS, EXCL. COMBINATIONS WITH CORTICOSTEROIDS",G01AE  Sulfonamides,G01AE10,C0038679
J  ANTIINFECTIVES FOR SYSTEMIC USE,J01  ANTIBACTERIALS FOR SYSTEMIC USE,J01A  TETRACYCLINES,J01AA  Tetracyclines,J01AA20,C0035823
J  ANTIINFECTIVES FOR SYSTEMIC USE,J01  ANTIBACTERIALS FOR SYSTEMIC USE,J01A  TETRACYCLINES,J01AA  Tetracyclines,J01AA09,C0035823
R  RESPIRATORY SYSTEM,R03  DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES,R03D  OTHER SYSTEMIC DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES,R03DA  Xanthines,R03DA20,C0055578
